Team 1,Team 2,Team 1 Win %,Team 2 Win %,Team 1 At Home,Team 1 Won
Utah Jazz,Houston Rockets,0.540650406504065,0.7084257206208426,0,0
Phoenix Suns,San Antonio Spurs,0.3642276422764228,0.6479674796747967,0,0
Indiana Pacers,New York Knicks,0.5040650406504065,0.496386630532972,0,0
Minnesota Timberwolves,Charlotte Hornets,0.5926829268292683,0.4796747967479675,1,1
Portland Trail Blazers,Oklahoma City Thunder,0.5666666666666667,0.487353206865402,1,1
Memphis Grizzlies,Los Angeles Lakers,0.5747967479674797,0.43902439024390244,0,0
Atlanta Hawks,Boston Celtics,0.2960088691796009,0.7609016999260901,1,0
Brooklyn Nets,Phoenix Suns,0.34796747967479674,0.33998521803399856,0,1
Miami Heat,Golden State Warriors,0.43333333333333335,0.7572062084257206,0,0
Cleveland Cavaliers,Milwaukee Bucks,0.5103473762010348,0.4373983739837399,1,1
Indiana Pacers,New Orleans Pelicans,0.47376201034737625,0.5018477457501848,1,0
Washington Wizards,Dallas Mavericks,0.5325203252032521,0.24525745257452577,1,0
Charlotte Hornets,New York Knicks,0.4493717664449372,0.5260162601626016,0,0
Toronto Raptors,Chicago Bulls,0.6073170731707317,0.3148148148148148,1,1
Los Angeles Clippers,San Antonio Spurs,0.540650406504065,0.672209903917221,0,0
Denver Nuggets,Brooklyn Nets,0.5262379896526238,0.3237250554323725,1,1
Utah Jazz,Philadelphia 76ers,0.5103473762010348,0.5138211382113821,1,0
Portland Trail Blazers,Memphis Grizzlies,0.5303030303030303,0.5990391722099039,1,0
Sacramento Kings,Oklahoma City Thunder,0.2634146341463415,0.45772357723577234,1,1
Detroit Pistons,Indiana Pacers,0.6352549889135255,0.448509485094851,1,1
Orlando Magic,New York Knicks,0.5421286031042128,0.4896526237989652,1,1
Los Angeles Lakers,Boston Celtics,0.4087213599408721,0.7710027100271003,0,0
Phoenix Suns,Miami Heat,0.3197831978319783,0.4696969696969697,1,0
Minnesota Timberwolves,Golden State Warriors,0.5502586844050259,0.7723577235772358,0,0
Washington Wizards,Los Angeles Lakers,0.5628233555062824,0.38346883468834686,1,1
Toronto Raptors,New Orleans Pelicans,0.6315594974131559,0.47154471544715443,1,1
Cleveland Cavaliers,Houston Rockets,0.4850948509485095,0.7235772357723578,0,0
Sacramento Kings,Philadelphia 76ers,0.31189948263118994,0.47745750184774577,1,1
Denver Nuggets,Oklahoma City Thunder,0.5514905149051491,0.43348115299334805,1,1
Atlanta Hawks,Detroit Pistons,0.2859078590785908,0.6504065040650406,0,0
Boston Celtics,Charlotte Hornets,0.7795497185741088,0.42411924119241196,1,1
