Home Win %,Visitor Win %,Home Won
0.615,0.264,0
0.692,0.587,1
0.312,0.384,0
0.579,0.449,1
0.637,0.451,1
0.427,0.495,0
0.52,0.71,1
0.554,0.519,1
0.474,0.636,0
0.478,0.568,1
0.594,0.467,1
0.49,0.484,1
0.698,0.369,1
0.375,0.595,0
0.302,0.347,0
0.603,0.644,0
0.328,0.419,1
0.612,0.418,1
0.542,0.531,0
0.484,0.508,1
0.502,0.441,1
0.603,0.614,1
0.462,0.259,1
0.545,0.684,1
0.578,0.601,1
0.489,0.629,1
0.717,0.457,1
0.521,0.643,0
0.473,0.362,0
0.602,0.454,1
0.611,0.48,1
0.386,0.254,1
0.364,0.343,0
0.41,0.5,0
0.494,0.432,1
0.629,0.429,0
0.723,0.591,1
0.551,0.447,1
0.49,0.518,0
0.297,0.635,0
0.587,0.615,1
0.619,0.533,1
0.71,0.498,0
0.531,0.539,1
0.484,0.447,1
0.401,0.269,0
0.357,0.609,0
0.396,0.47,1
0.49,0.689,0
0.338,0.44,0
0.528,0.36,1
0.457,0.424,1
0.61,0.6,1
0.599,0.483,1
0.596,0.608,1
0.641,0.293,1
0.492,0.487,1
0.698,0.548,0
0.522,0.54,0
0.48,0.388,1
0.615,0.474,1
0.412,0.676,1
0.44,0.352,0
0.5,0.355,1
0.431,0.371,0
0.435,0.448,1
0.607,0.6,1
0.264,0.622,0
0.476,0.607,0
0.647,0.38,1
0.426,0.605,0
0.451,0.47,1
0.384,0.351,1
0.518,0.615,0
0.532,0.288,1
0.26,0.614,0
0.537,0.705,0
0.596,0.608,0
0.423,0.464,1
0.49,0.441,0
0.681,0.347,1
0.458,0.61,1
0.545,0.528,1
0.484,0.482,1
0.621,0.379,1
0.48,0.414,1
0.612,0.508,1
0.616,0.604,1
0.436,0.432,1
0.617,0.449,1
0.255,0.711,0
0.686,0.523,1
0.652,0.455,1
0.62,0.284,1
0.472,0.553,0
0.586,0.535,0
0.471,0.458,0
0.348,0.5,0
0.462,0.373,1
0.389,0.429,1
0.612,0.424,1
0.342,0.424,0
0.499,0.465,0
0.251,0.541,0
0.474,0.623,0
0.624,0.674,1
0.463,0.626,0
0.7,0.62,0
0.344,0.532,0
0.619,0.45,1
0.338,0.627,0
0.491,0.398,0
0.509,0.456,1
0.434,0.416,1
0.657,0.368,1
0.248,0.593,0
0.465,0.297,0
0.543,0.63,0
0.631,0.462,1
0.457,0.541,0
