Home,Home Points,Visitor,Visitor Points
Detroit Pistons,91,Charlotte Hornets,104
Indiana Pacers,96,Brooklyn Nets,108
Memphis Grizzlies,127,Dallas Mavericks,129
Houston Rockets,149,Phoenix Suns,113
Milwaukee Bucks,115,Atlanta Hawks,107
Boston Celtics,108,Orlando Magic,116
New York Knicks,113,Washington Wizards,110
Golden State Warriors,131,Los Angeles Clippers,104
Portland Trail Blazers,115,Denver Nuggets,108
Sacramento Kings,129,New Orleans Pelicans,133
Los Angeles Lakers,113,Utah Jazz,109
Cleveland Cavaliers,97,Charlotte Hornets,124
Detroit Pistons,100,Memphis Grizzlies,93
Washington Wizards,110,Boston Celtics,116
Miami Heat,122,Philadelphia 76ers,99
Chicago Bulls,86,New York Knicks,96
Minnesota Timberwolves,100,Toronto Raptors,120
New Orleans Pelicans,103,Golden State Warriors,112
Dallas Mavericks,120,Phoenix Suns,109
Utah Jazz,118,Denver Nuggets,108
Oklahoma City Thunder,112,Houston Rockets,111
Los Angeles Lakers,101,Portland Trail Blazers,104
Atlanta Hawks,134,Indiana Pacers,135
Brooklyn Nets,113,Miami Heat,94
Charlotte Hornets,114,Orlando Magic,122
Memphis Grizzlies,132,Golden State Warriors,117
Milwaukee Bucks,116,Oklahoma City Thunder,127
New York Knicks,89,Detroit Pistons,115
Philadelphia 76ers,125,Chicago Bulls,109
San Antonio Spurs,105,Dallas Mavericks,94
Denver Nuggets,99,Minnesota Timberwolves,95
Los Angeles Clippers,143,Utah Jazz,137
Portland Trail Blazers,136,Sacramento Kings,131
Philadelphia 76ers,102,Brooklyn Nets,111
Toronto Raptors,101,Orlando Magic,104
Golden State Warriors,121,Los Angeles Clippers,104
Denver Nuggets,96,San Antonio Spurs,101
Boston Celtics,84,Indiana Pacers,74
Portland Trail Blazers,104,Oklahoma City Thunder,99
Milwaukee Bucks,121,Detroit Pistons,86
Houston Rockets,122,Utah Jazz,90
Philadelphia 76ers,145,Brooklyn Nets,123
Golden State Warriors,131,Los Angeles Clippers,135
Toronto Raptors,111,Orlando Magic,82
Denver Nuggets,114,San Antonio Spurs,105
Portland Trail Blazers,114,Oklahoma City Thunder,94
Boston Celtics,99,Indiana Pacers,91
Milwaukee Bucks,120,Detroit Pistons,99
Houston Rockets,118,Utah Jazz,98
Brooklyn Nets,115,Philadelphia 76ers,131
San Antonio Spurs,118,Denver Nuggets,108
Los Angeles Clippers,105,Golden State Warriors,132
Orlando Magic,93,Toronto Raptors,98
Indiana Pacers,96,Boston Celtics,104
Oklahoma City Thunder,120,Portland Trail Blazers,108
Brooklyn Nets,108,Philadelphia 76ers,112
San Antonio Spurs,103,Denver Nuggets,117
Detroit Pistons,103,Milwaukee Bucks,119
Utah Jazz,101,Houston Rockets,104
Indiana Pacers,106,Boston Celtics,110
Los Angeles Clippers,105,Golden State Warriors,113
Orlando Magic,85,Toronto Raptors,107
Oklahoma City Thunder,98,Portland Trail Blazers,111
Detroit Pistons,104,Milwaukee Bucks,127
Utah Jazz,107,Houston Rockets,91
Toronto Raptors,115,Orlando Magic,96
Philadelphia 76ers,122,Brooklyn Nets,100
Denver Nuggets,108,San Antonio Spurs,90
Portland Trail Blazers,118,Oklahoma City Thunder,115
Houston Rockets,100,Utah Jazz,93
Golden State Warriors,121,Los Angeles Clippers,129
San Antonio Spurs,120,Denver Nuggets,103
Los Angeles Clippers,110,Golden State Warriors,129
Toronto Raptors,108,Philadelphia 76ers,95
Denver Nuggets,90,San Antonio Spurs,86
Milwaukee Bucks,90,Boston Celtics,112
Golden State Warriors,104,Houston Rockets,100
Toronto Raptors,89,Philadelphia 76ers,94
Denver Nuggets,121,Portland Trail Blazers,113
Milwaukee Bucks,123,Boston Celtics,102
Golden State Warriors,115,Houston Rockets,109
Denver Nuggets,90,Portland Trail Blazers,97
Philadelphia 76ers,116,Toronto Raptors,95
Boston Celtics,116,Milwaukee Bucks,123
Portland Trail Blazers,140,Denver Nuggets,137
Houston Rockets,126,Golden State Warriors,121
Philadelphia 76ers,96,Toronto Raptors,101
Portland Trail Blazers,112,Denver Nuggets,116
Boston Celtics,101,Milwaukee Bucks,113
Houston Rockets,112,Golden State Warriors,108
Toronto Raptors,125,Philadelphia 76ers,89
Denver Nuggets,124,Portland Trail Blazers,98
Milwaukee Bucks,116,Boston Celtics,91
Golden State Warriors,104,Houston Rockets,99
Philadelphia 76ers,112,Toronto Raptors,101
Portland Trail Blazers,119,Denver Nuggets,108
Houston Rockets,113,Golden State Warriors,118
Denver Nuggets,96,Portland Trail Blazers,100
Toronto Raptors,92,Philadelphia 76ers,90
Golden State Warriors,116,Portland Trail Blazers,94
Milwaukee Bucks,108,Toronto Raptors,100
Golden State Warriors,114,Portland Trail Blazers,111
Milwaukee Bucks,125,Toronto Raptors,103
Portland Trail Blazers,99,Golden State Warriors,110
Toronto Raptors,118,Milwaukee Bucks,112
Portland Trail Blazers,117,Golden State Warriors,119
Toronto Raptors,120,Milwaukee Bucks,102
Milwaukee Bucks,99,Toronto Raptors,105
Toronto Raptors,100,Milwaukee Bucks,94
Toronto Raptors,118,Golden State Warriors,109
Toronto Raptors,104,Golden State Warriors,109
Golden State Warriors,109,Toronto Raptors,123
Golden State Warriors,92,Toronto Raptors,105
Toronto Raptors,105,Golden State Warriors,106
Golden State Warriors,110,Toronto Raptors,114
