Home,Home Points,Visitor,Visitor Points
Milwaukee Bucks,114,Phoenix Suns,116
Denver Nuggets,112,Orlando Magic,87
Golden State Warriors,125,Portland Trail Blazers,97
Los Angeles Lakers,90,Utah Jazz,83
Cleveland Cavaliers,117,Houston Rockets,108
Minnesota Timberwolves,111,Chicago Bulls,96
Oklahoma City Thunder,98,Denver Nuggets,105
Washington Wizards,124,New Orleans Pelicans,114
Dallas Mavericks,113,Boston Celtics,104
Golden State Warriors,117,Sacramento Kings,116
Milwaukee Bucks,135,San Antonio Spurs,129
Los Angeles Lakers,104,Orlando Magic,108
Detroit Pistons,118,Phoenix Suns,107
Atlanta Hawks,124,Charlotte Hornets,123
Brooklyn Nets,125,Philadelphia 76ers,127
Memphis Grizzlies,98,New York Knicks,103
Toronto Raptors,125,Miami Heat,115
Sacramento Kings,112,Utah Jazz,133
Portland Trail Blazers,100,Los Angeles Clippers,104
Charlotte Hornets,110,Milwaukee Bucks,107
Cleveland Cavaliers,95,Minnesota Timberwolves,102
Washington Wizards,135,Houston Rockets,131
Chicago Bulls,107,San Antonio Spurs,108
New Orleans Pelicans,107,Boston Celtics,124
Utah Jazz,88,Indiana Pacers,121
Golden State Warriors,116,Orlando Magic,110
Detroit Pistons,115,New York Knicks,108
Miami Heat,113,Atlanta Hawks,115
Memphis Grizzlies,114,Toronto Raptors,122
Denver Nuggets,117,Los Angeles Lakers,85
Phoenix Suns,104,Indiana Pacers,109
Charlotte Hornets,108,Atlanta Hawks,94
Philadelphia 76ers,117,New York Knicks,91
Brooklyn Nets,91,Utah Jazz,101
Houston Rockets,108,Dallas Mavericks,128
Milwaukee Bucks,116,Chicago Bulls,113
Minnesota Timberwolves,128,San Antonio Spurs,89
New Orleans Pelicans,125,Washington Wizards,104
Oklahoma City Thunder,100,Cleveland Cavaliers,83
Portland Trail Blazers,115,Orlando Magic,112
Los Angeles Clippers,115,Phoenix Suns,99
Toronto Raptors,131,Golden State Warriors,128
Los Angeles Lakers,104,Indiana Pacers,96
Sacramento Kings,121,Los Angeles Clippers,133
Boston Celtics,128,Cleveland Cavaliers,95
Charlotte Hornets,111,Utah Jazz,119
Detroit Pistons,107,Chicago Bulls,88
Philadelphia 76ers,123,Washington Wizards,98
Brooklyn Nets,125,Memphis Grizzlies,131
Miami Heat,106,New Orleans Pelicans,101
Oklahoma City Thunder,124,Atlanta Hawks,109
San Antonio Spurs,105,Houston Rockets,136
Phoenix Suns,85,Orlando Magic,99
Los Angeles Lakers,114,Dallas Mavericks,103
Portland Trail Blazers,112,Denver Nuggets,113
New York Knicks,136,Milwaukee Bucks,134
Detroit Pistons,111,Golden State Warriors,102
Washington Wizards,102,Brooklyn Nets,88
Cleveland Cavaliers,95,Toronto Raptors,106
Houston Rockets,121,Chicago Bulls,105
Minnesota Timberwolves,109,Boston Celtics,118
Sacramento Kings,111,Indiana Pacers,110
Los Angeles Lakers,120,Phoenix Suns,96
Charlotte Hornets,109,New Orleans Pelicans,119
Miami Heat,102,Utah Jazz,100
Philadelphia 76ers,103,Memphis Grizzlies,95
Dallas Mavericks,114,Los Angeles Clippers,110
San Antonio Spurs,131,Portland Trail Blazers,118
Detroit Pistons,83,Oklahoma City Thunder,110
Atlanta Hawks,111,Golden State Warriors,128
Brooklyn Nets,97,Cleveland Cavaliers,99
New York Knicks,107,Washington Wizards,110
Toronto Raptors,103,Denver Nuggets,106
Minnesota Timberwolves,103,Houston Rockets,91
New Orleans Pelicans,126,Los Angeles Clippers,129
Indiana Pacers,96,Chicago Bulls,90
Miami Heat,90,Orlando Magic,105
Dallas Mavericks,111,Portland Trail Blazers,102
Phoenix Suns,105,Sacramento Kings,122
Utah Jazz,139,San Antonio Spurs,105
Cleveland Cavaliers,105,Golden State Warriors,129
Orlando Magic,118,Denver Nuggets,124
Atlanta Hawks,117,Washington Wizards,131
Brooklyn Nets,112,Oklahoma City Thunder,114
Memphis Grizzlies,96,Los Angeles Clippers,86
Milwaukee Bucks,115,Detroit Pistons,92
Minnesota Timberwolves,121,Charlotte Hornets,104
New Orleans Pelicans,132,Dallas Mavericks,106
Toronto Raptors,113,Philadelphia 76ers,102
Los Angeles Lakers,121,San Antonio Spurs,113
Boston Celtics,128,New York Knicks,100
Portland Trail Blazers,108,Phoenix Suns,86
Utah Jazz,118,Houston Rockets,91
Charlotte Hornets,113,Denver Nuggets,107
Detroit Pistons,111,Philadelphia 76ers,117
Orlando Magic,90,Indiana Pacers,112
Brooklyn Nets,106,Toronto Raptors,105
Cleveland Cavaliers,110,Sacramento Kings,129
Chicago Bulls,114,Oklahoma City Thunder,112
New Orleans Pelicans,103,Memphis Grizzlies,107
San Antonio Spurs,133,Los Angeles Lakers,120
Phoenix Suns,98,Miami Heat,115
Milwaukee Bucks,95,Golden State Warriors,105
Dallas Mavericks,107,Houston Rockets,104
Indiana Pacers,107,Sacramento Kings,97
Atlanta Hawks,106,Denver Nuggets,98
Cleveland Cavaliers,116,Washington Wizards,101
New York Knicks,104,Brooklyn Nets,112
Chicago Bulls,77,Boston Celtics,133
Memphis Grizzlies,88,Los Angeles Lakers,111
Portland Trail Blazers,113,Minnesota Timberwolves,105
Los Angeles Clippers,98,Miami Heat,121
Detroit Pistons,108,New Orleans Pelicans,116
Toronto Raptors,99,Milwaukee Bucks,104
San Antonio Spurs,110,Utah Jazz,97
New York Knicks,107,Charlotte Hornets,119
Indiana Pacers,109,Washington Wizards,101
Philadelphia 76ers,116,Detroit Pistons,102
Boston Celtics,113,New Orleans Pelicans,100
Chicago Bulls,89,Sacramento Kings,108
Milwaukee Bucks,108,Cleveland Cavaliers,92
