Home,Home Points,Visitor,Visitor Points
Los Angeles Clippers,113,Los Angeles Lakers,97
Chicago Bulls,107,New Orleans Pelicans,99
Phoenix Suns,108,San Antonio Spurs,105
Washington Wizards,109,Philadelphia 76ers,93
Utah Jazz,114,Orlando Magic,107
Dallas Mavericks,98,Minnesota Timberwolves,87
Atlanta Hawks,111,Milwaukee Bucks,98
Toronto Raptors,116,New York Knicks,101
Brooklyn Nets,112,Houston Rockets,137
Memphis Grizzlies,104,Chicago Bulls,108
Sacramento Kings,118,Oklahoma City Thunder,122
Los Angeles Lakers,97,Detroit Pistons,102
New York Knicks,107,Atlanta Hawks,108
Washington Wizards,120,Portland Trail Blazers,101
Milwaukee Bucks,104,Philadelphia 76ers,113
Indiana Pacers,98,New Orleans Pelicans,95
Denver Nuggets,125,Orlando Magic,112
Boston Celtics,108,Charlotte Hornets,98
Golden State Warriors,126,Cleveland Cavaliers,91
Phoenix Suns,101,Utah Jazz,106
Los Angeles Clippers,120,Oklahoma City Thunder,98
Brooklyn Nets,109,Toronto Raptors,119
Miami Heat,109,Houston Rockets,103
Chicago Bulls,98,Dallas Mavericks,99
San Antonio Spurs,122,Minnesota Timberwolves,114
Los Angeles Lakers,121,Denver Nuggets,127
Charlotte Hornets,107,Portland Trail Blazers,85
Philadelphia 76ers,94,Toronto Raptors,89
Washington Wizards,104,Memphis Grizzlies,101
Boston Celtics,106,New York Knicks,117
Detroit Pistons,118,Atlanta Hawks,95
Houston Rockets,111,Milwaukee Bucks,92
New Orleans Pelicans,118,Orlando Magic,98
Golden State Warriors,121,Oklahoma City Thunder,100
Sacramento Kings,100,Indiana Pacers,106
Cleveland Cavaliers,118,Phoenix Suns,103
Miami Heat,99,Dallas Mavericks,95
New York Knicks,110,Washington Wizards,113
San Antonio Spurs,118,Denver Nuggets,104
Los Angeles Clippers,101,Minnesota Timberwolves,104
Charlotte Hornets,113,Toronto Raptors,78
Orlando Magic,112,Milwaukee Bucks,96
Philadelphia 76ers,93,Portland Trail Blazers,92
Atlanta Hawks,102,Chicago Bulls,93
Houston Rockets,108,Golden State Warriors,125
Memphis Grizzlies,107,Sacramento Kings,91
New Orleans Pelicans,114,Brooklyn Nets,143
Dallas Mavericks,107,Utah Jazz,112
Los Angeles Lakers,108,Indiana Pacers,95
Boston Celtics,123,Portland Trail Blazers,127
Detroit Pistons,113,Washington Wizards,112
Atlanta Hawks,110,Philadelphia 76ers,93
Charlotte Hornets,112,Brooklyn Nets,105
Miami Heat,109,Milwaukee Bucks,97
New York Knicks,105,Phoenix Suns,107
Memphis Grizzlies,95,Houston Rockets,119
Cleveland Cavaliers,115,San Antonio Spurs,118
Chicago Bulls,102,Sacramento Kings,99
Denver Nuggets,123,Los Angeles Clippers,98
Utah Jazz,109,Indiana Pacers,100
Orlando Magic,98,Golden State Warriors,118
Dallas Mavericks,122,Los Angeles Lakers,73
Toronto Raptors,103,Phoenix Suns,115
Minnesota Timberwolves,111,Denver Nuggets,108
Charlotte Hornets,99,Washington Wizards,109
Atlanta Hawks,105,Los Angeles Clippers,115
Brooklyn Nets,86,San Antonio Spurs,112
Detroit Pistons,104,Sacramento Kings,109
Miami Heat,105,Golden State Warriors,102
Indiana Pacers,103,New York Knicks,109
Milwaukee Bucks,127,Houston Rockets,114
New Orleans Pelicans,124,Cleveland Cavaliers,122
Utah Jazz,95,Oklahoma City Thunder,97
Orlando Magic,92,Chicago Bulls,100
Philadelphia 76ers,121,Los Angeles Clippers,110
Toronto Raptors,106,San Antonio Spurs,108
Washington Wizards,123,Boston Celtics,108
Denver Nuggets,103,Utah Jazz,93
Phoenix Suns,111,Minnesota Timberwolves,112
Cleveland Cavaliers,112,Sacramento Kings,116
Boston Celtics,120,Houston Rockets,109
Brooklyn Nets,106,Miami Heat,109
Chicago Bulls,114,Atlanta Hawks,119
Charlotte Hornets,103,Golden State Warriors,113
Memphis Grizzlies,101,Toronto Raptors,99
Milwaukee Bucks,109,Philadelphia 76ers,114
New Orleans Pelicans,105,Oklahoma City Thunder,114
Dallas Mavericks,103,New York Knicks,95
Portland Trail Blazers,105,Los Angeles Lakers,98
Minnesota Timberwolves,103,Indiana Pacers,109
Oklahoma City Thunder,109,Dallas Mavericks,98
Denver Nuggets,127,Phoenix Suns,120
Utah Jazz,96,Los Angeles Lakers,88
Indiana Pacers,115,Sacramento Kings,111
Boston Celtics,128,Orlando Magic,98
Cleveland Cavaliers,124,Brooklyn Nets,116
New York Knicks,110,Charlotte Hornets,107
Toronto Raptors,102,Milwaukee Bucks,86
Atlanta Hawks,86,Washington Wizards,112
Chicago Bulls,88,Miami Heat,100
New Orleans Pelicans,119,San Antonio Spurs,103
Philadelphia 76ers,118,Houston Rockets,123
Portland Trail Blazers,112,Memphis Grizzlies,109
Charlotte Hornets,106,Sacramento Kings,109
Miami Heat,116,Detroit Pistons,103
Milwaukee Bucks,108,Boston Celtics,112
Golden State Warriors,144,Los Angeles Clippers,98
Minnesota Timberwolves,129,Brooklyn Nets,109
Phoenix Suns,112,Denver Nuggets,123
Utah Jazz,95,Memphis Grizzlies,102
Atlanta Hawks,142,New York Knicks,139
Cleveland Cavaliers,107,Oklahoma City Thunder,91
Indiana Pacers,120,Houston Rockets,101
New Orleans Pelicans,94,Washington Wizards,107
Toronto Raptors,113,Orlando Magic,114
Chicago Bulls,121,Philadelphia 76ers,108
San Antonio Spurs,101,Dallas Mavericks,105
Portland Trail Blazers,111,Golden State Warriors,113
Philadelphia 76ers,122,Sacramento Kings,119
Miami Heat,104,Brooklyn Nets,96
Boston Celtics,113,Detroit Pistons,109
Minnesota Timberwolves,111,Orlando Magic,105
Dallas Mavericks,104,Cleveland Cavaliers,97
Phoenix Suns,96,Memphis Grizzlies,115
Toronto Raptors,108,New Orleans Pelicans,106
Washington Wizards,117,New York Knicks,101
Houston Rockets,105,Sacramento Kings,83
San Antonio Spurs,108,Oklahoma City Thunder,94
Portland Trail Blazers,115,Charlotte Hornets,98
Los Angeles Lakers,120,Denver Nuggets,116
Cleveland Cavaliers,125,Minnesota Timberwolves,97
Orlando Magic,88,Indiana Pacers,98
Boston Celtics,109,Toronto Raptors,104
Brooklyn Nets,90,New York Knicks,95
Detroit Pistons,118,New Orleans Pelicans,98
Miami Heat,116,Atlanta Hawks,93
Dallas Mavericks,113,Philadelphia 76ers,95
Denver Nuggets,99,Memphis Grizzlies,119
Phoenix Suns,114,Los Angeles Clippers,124
Utah Jazz,104,Milwaukee Bucks,88
Oklahoma City Thunder,100,Chicago Bulls,128
Golden State Warriors,126,Charlotte Hornets,111
Washington Wizards,116,Los Angeles Lakers,108
Houston Rockets,108,Atlanta Hawks,113
San Antonio Spurs,102,Philadelphia 76ers,86
Los Angeles Clippers,120,Golden State Warriors,133
Orlando Magic,102,Toronto Raptors,94
Brooklyn Nets,97,Indiana Pacers,106
Detroit Pistons,116,Minnesota Timberwolves,108
Boston Celtics,113,Los Angeles Lakers,107
Houston Rockets,121,Chicago Bulls,117
Oklahoma City Thunder,114,Memphis Grizzlies,102
Denver Nuggets,121,Milwaukee Bucks,117
Portland Trail Blazers,104,Dallas Mavericks,108
Sacramento Kings,103,Phoenix Suns,105
Atlanta Hawks,113,Orlando Magic,86
Indiana Pacers,105,Detroit Pistons,84
Washington Wizards,105,New Orleans Pelicans,91
Miami Heat,125,Philadelphia 76ers,102
New York Knicks,104,Cleveland Cavaliers,111
Minnesota Timberwolves,99,Memphis Grizzlies,107
Phoenix Suns,112,Milwaukee Bucks,137
San Antonio Spurs,121,Denver Nuggets,97
Utah Jazz,105,Charlotte Hornets,98
Sacramento Kings,109,Golden State Warriors,106
Brooklyn Nets,95,Toronto Raptors,103
Boston Celtics,107,Los Angeles Clippers,102
Oklahoma City Thunder,105,Portland Trail Blazers,99
Indiana Pacers,93,Oklahoma City Thunder,90
New York Knicks,107,Los Angeles Lakers,121
Washington Wizards,135,Cleveland Cavaliers,140
Atlanta Hawks,95,Utah Jazz,120
Detroit Pistons,113,Philadelphia 76ers,96
Toronto Raptors,118,Los Angeles Clippers,109
Minnesota Timberwolves,113,Miami Heat,115
New Orleans Pelicans,111,Phoenix Suns,106
Denver Nuggets,110,Dallas Mavericks,87
Memphis Grizzlies,89,San Antonio Spurs,74
Sacramento Kings,107,Chicago Bulls,112
Charlotte Hornets,111,Brooklyn Nets,107
Houston Rockets,128,Orlando Magic,104
Dallas Mavericks,113,Portland Trail Blazers,114
Indiana Pacers,117,Cleveland Cavaliers,132
Philadelphia 76ers,103,San Antonio Spurs,111
Atlanta Hawks,117,Denver Nuggets,106
Brooklyn Nets,110,Washington Wizards,114
Detroit Pistons,121,Los Angeles Lakers,102
Memphis Grizzlies,110,Phoenix Suns,91
Milwaukee Bucks,88,Miami Heat,106
Minnesota Timberwolves,112,Toronto Raptors,109
New Orleans Pelicans,94,Utah Jazz,127
New York Knicks,115,Los Angeles Clippers,119
Golden State Warriors,123,Chicago Bulls,92
Sacramento Kings,108,Boston Celtics,92
Charlotte Hornets,95,Houston Rockets,107
Orlando Magic,111,Philadelphia 76ers,112
Oklahoma City Thunder,118,Cleveland Cavaliers,109
Dallas Mavericks,112,Utah Jazz,105
Portland Trail Blazers,111,Boston Celtics,120
Brooklyn Nets,99,Miami Heat,108
Detroit Pistons,92,San Antonio Spurs,103
New York Knicks,123,Denver Nuggets,131
Memphis Grizzlies,107,Golden State Warriors,122
Milwaukee Bucks,114,Los Angeles Lakers,122
Minnesota Timberwolves,106,New Orleans Pelicans,122
Washington Wizards,112,Indiana Pacers,107
Phoenix Suns,115,Chicago Bulls,97
Sacramento Kings,108,Atlanta Hawks,107
Charlotte Hornets,102,Los Angeles Clippers,107
Indiana Pacers,100,Milwaukee Bucks,116
Cleveland Cavaliers,125,Denver Nuggets,109
Philadelphia 76ers,117,Miami Heat,109
Oklahoma City Thunder,114,Golden State Warriors,130
Dallas Mavericks,112,Orlando Magic,80
Houston Rockets,133,Phoenix Suns,102
Utah Jazz,104,Boston Celtics,112
Minnesota Timberwolves,117,Chicago Bulls,89
New York Knicks,94,San Antonio Spurs,90
Toronto Raptors,101,Detroit Pistons,102
Sacramento Kings,105,New Orleans Pelicans,99
Charlotte Hornets,99,Philadelphia 76ers,105
Indiana Pacers,106,San Antonio Spurs,110
Brooklyn Nets,103,Memphis Grizzlies,112
Miami Heat,107,Orlando Magic,116
Milwaukee Bucks,102,Detroit Pistons,89
Washington Wizards,120,Oklahoma City Thunder,98
Dallas Mavericks,98,Boston Celtics,111
Denver Nuggets,132,Golden State Warriors,110
Phoenix Suns,108,New Orleans Pelicans,110
Utah Jazz,72,Los Angeles Clippers,88
Portland Trail Blazers,104,Atlanta Hawks,109
Chicago Bulls,105,Toronto Raptors,94
Minnesota Timberwolves,108,Cleveland Cavaliers,116
Los Angeles Lakers,96,Sacramento Kings,97
Cleveland Cavaliers,113,Indiana Pacers,104
Orlando Magic,79,San Antonio Spurs,107
Boston Celtics,116,Philadelphia 76ers,108
Brooklyn Nets,125,Milwaukee Bucks,129
Detroit Pistons,98,Dallas Mavericks,91
Toronto Raptors,90,Charlotte Hornets,85
Houston Rockets,109,Miami Heat,117
Memphis Grizzlies,91,New Orleans Pelicans,95
Denver Nuggets,99,Minnesota Timberwolves,112
Phoenix Suns,137,Los Angeles Lakers,101
Utah Jazz,111,Portland Trail Blazers,88
Oklahoma City Thunder,116,New York Knicks,105
Golden State Warriors,109,Sacramento Kings,86
Los Angeles Clippers,99,Atlanta Hawks,84
Indiana Pacers,98,Washington Wizards,111
Chicago Bulls,104,Boston Celtics,103
Orlando Magic,103,Portland Trail Blazers,112
Detroit Pistons,114,Charlotte Hornets,108
Cleveland Cavaliers,119,New York Knicks,104
New Orleans Pelicans,99,Houston Rockets,129
Golden State Warriors,123,Los Angeles Clippers,113
Sacramento Kings,116,Denver Nuggets,100
Indiana Pacers,102,Memphis Grizzlies,92
Philadelphia 76ers,120,Washington Wizards,112
Atlanta Hawks,90,Miami Heat,108
Chicago Bulls,128,Phoenix Suns,121
Milwaukee Bucks,95,Utah Jazz,109
Minnesota Timberwolves,97,Dallas Mavericks,84
Oklahoma City Thunder,110,Los Angeles Lakers,93
Toronto Raptors,107,Boston Celtics,97
Denver Nuggets,129,Brooklyn Nets,109
Los Angeles Clippers,97,San Antonio Spurs,105
Sacramento Kings,85,Charlotte Hornets,99
Orlando Magic,105,Atlanta Hawks,86
New York Knicks,110,Philadelphia 76ers,109
Miami Heat,113,Indiana Pacers,95
Cleveland Cavaliers,99,Chicago Bulls,117
Dallas Mavericks,96,New Orleans Pelicans,83
Houston Rockets,142,Minnesota Timberwolves,130
Golden State Warriors,112,Brooklyn Nets,95
Los Angeles Lakers,98,San Antonio Spurs,119
Milwaukee Bucks,100,Phoenix Suns,96
Denver Nuggets,98,Memphis Grizzlies,105
Washington Wizards,92,Utah Jazz,102
Detroit Pistons,98,Boston Celtics,104
Toronto Raptors,112,Portland Trail Blazers,106
Oklahoma City Thunder,118,New Orleans Pelicans,110
Los Angeles Clippers,124,Charlotte Hornets,121
Cleveland Cavaliers,102,Milwaukee Bucks,95
New York Knicks,91,Toronto Raptors,92
Philadelphia 76ers,108,Golden State Warriors,119
Boston Celtics,98,Atlanta Hawks,114
Dallas Mavericks,96,Miami Heat,89
Houston Rockets,108,Indiana Pacers,117
Sacramento Kings,88,Minnesota Timberwolves,102
Washington Wizards,112,Golden State Warriors,108
Detroit Pistons,120,Portland Trail Blazers,113
Chicago Bulls,107,Denver Nuggets,125
Memphis Grizzlies,130,Phoenix Suns,112
Oklahoma City Thunder,109,Utah Jazz,106
Los Angeles Lakers,104,Charlotte Hornets,109
Orlando Magic,90,New York Knicks,101
Atlanta Hawks,100,Dallas Mavericks,95
Miami Heat,125,Philadelphia 76ers,98
Toronto Raptors,96,Washington Wizards,105
Boston Celtics,103,Cleveland Cavaliers,99
Milwaukee Bucks,98,Denver Nuggets,110
New Orleans Pelicans,109,Detroit Pistons,86
San Antonio Spurs,100,Indiana Pacers,99
Utah Jazz,80,Minnesota Timberwolves,107
Los Angeles Clippers,103,Houston Rockets,122
Sacramento Kings,100,Brooklyn Nets,109
Chicago Bulls,94,Golden State Warriors,87
Phoenix Suns,120,Charlotte Hornets,103
Portland Trail Blazers,114,Oklahoma City Thunder,109
Atlanta Hawks,130,Cleveland Cavaliers,135
Orlando Magic,110,Miami Heat,99
Philadelphia 76ers,105,New York Knicks,102
Washington Wizards,106,Toronto Raptors,114
Milwaukee Bucks,112,Los Angeles Clippers,101
Dallas Mavericks,104,Memphis Grizzlies,100
Phoenix Suns,118,Oklahoma City Thunder,111
Utah Jazz,112,Brooklyn Nets,97
New Orleans Pelicans,98,San Antonio Spurs,101
Los Angeles Lakers,95,Boston Celtics,115
Philadelphia 76ers,106,Detroit Pistons,136
Miami Heat,120,Cleveland Cavaliers,92
Milwaukee Bucks,101,Toronto Raptors,94
Chicago Bulls,91,Los Angeles Clippers,101
Denver Nuggets,102,Charlotte Hornets,112
Houston Rockets,123,Memphis Grizzlies,108
San Antonio Spurs,97,Minnesota Timberwolves,90
Portland Trail Blazers,130,Brooklyn Nets,116
Atlanta Hawks,96,Indiana Pacers,97
New York Knicks,105,Golden State Warriors,112
Phoenix Suns,109,Boston Celtics,106
Washington Wizards,115,Orlando Magic,114
Sacramento Kings,109,Utah Jazz,110
Dallas Mavericks,104,Oklahoma City Thunder,89
Los Angeles Lakers,97,New Orleans Pelicans,105
Cleveland Cavaliers,98,Miami Heat,106
Orlando Magic,105,New York Knicks,113
Philadelphia 76ers,98,Milwaukee Bucks,112
Atlanta Hawks,111,Golden State Warriors,119
Detroit Pistons,109,Chicago Bulls,95
Charlotte Hornets,100,Indiana Pacers,88
Memphis Grizzlies,109,Brooklyn Nets,122
San Antonio Spurs,112,Houston Rockets,110
Denver Nuggets,108,Sacramento Kings,96
Utah Jazz,88,New Orleans Pelicans,83
Los Angeles Clippers,116,Boston Celtics,102
Oklahoma City Thunder,121,Portland Trail Blazers,126
Dallas Mavericks,122,Los Angeles Lakers,111
Phoenix Suns,127,Washington Wizards,131
Orlando Magic,98,Chicago Bulls,91
Atlanta Hawks,110,Brooklyn Nets,105
Miami Heat,108,Charlotte Hornets,101
Houston Rockets,108,Utah Jazz,115
Indiana Pacers,115,Detroit Pistons,98
Milwaukee Bucks,104,New York Knicks,93
Minnesota Timberwolves,107,Los Angeles Clippers,91
New Orleans Pelicans,87,Toronto Raptors,94
San Antonio Spurs,114,Sacramento Kings,104
Denver Nuggets,113,Washington Wizards,123
Golden State Warriors,86,Boston Celtics,99
Detroit Pistons,106,Cleveland Cavaliers,101
Memphis Grizzlies,98,Los Angeles Clippers,114
Oklahoma City Thunder,102,San Antonio Spurs,92
Portland Trail Blazers,114,Philadelphia 76ers,108
Phoenix Suns,110,Los Angeles Lakers,122
Charlotte Hornets,121,Orlando Magic,81
Atlanta Hawks,105,Toronto Raptors,99
Chicago Bulls,94,Houston Rockets,115
Milwaukee Bucks,99,Indiana Pacers,85
Minnesota Timberwolves,103,Golden State Warriors,102
Dallas Mavericks,105,Brooklyn Nets,96
Denver Nuggets,119,Boston Celtics,99
Sacramento Kings,122,Washington Wizards,130
Oklahoma City Thunder,112,Utah Jazz,104
Los Angeles Clippers,112,Philadelphia 76ers,100
Detroit Pistons,112,New York Knicks,92
Charlotte Hornets,122,New Orleans Pelicans,125
Orlando Magic,104,Cleveland Cavaliers,116
Miami Heat,104,Toronto Raptors,89
Milwaukee Bucks,102,Minnesota Timberwolves,95
San Antonio Spurs,107,Golden State Warriors,85
Dallas Mavericks,98,Phoenix Suns,100
Memphis Grizzlies,90,Atlanta Hawks,107
Portland Trail Blazers,124,Washington Wizards,125
Sacramento Kings,92,Denver Nuggets,105
Boston Celtics,100,Chicago Bulls,80
Brooklyn Nets,120,New York Knicks,112
Indiana Pacers,102,Miami Heat,98
Houston Rockets,117,Cleveland Cavaliers,112
Phoenix Suns,101,Portland Trail Blazers,110
Los Angeles Lakers,116,Philadelphia 76ers,118
Charlotte Hornets,109,Chicago Bulls,115
Toronto Raptors,100,Dallas Mavericks,78
Memphis Grizzlies,113,Milwaukee Bucks,93
Minnesota Timberwolves,119,Washington Wizards,104
San Antonio Spurs,107,Atlanta Hawks,99
Utah Jazz,114,Los Angeles Clippers,108
Denver Nuggets,129,Los Angeles Lakers,101
Sacramento Kings,120,Orlando Magic,115
Cleveland Cavaliers,128,Detroit Pistons,96
Brooklyn Nets,104,Oklahoma City Thunder,122
New York Knicks,87,Indiana Pacers,81
New Orleans Pelicans,100,Portland Trail Blazers,77
Golden State Warriors,106,Philadelphia 76ers,104
Indiana Pacers,98,Charlotte Hornets,77
Washington Wizards,107,Dallas Mavericks,112
Boston Celtics,117,Minnesota Timberwolves,104
Detroit Pistons,83,Utah Jazz,97
Miami Heat,120,New Orleans Pelicans,112
Chicago Bulls,91,Memphis Grizzlies,98
Houston Rockets,139,Los Angeles Lakers,100
San Antonio Spurs,106,Portland Trail Blazers,110
Phoenix Suns,101,Sacramento Kings,107
Los Angeles Clippers,96,Milwaukee Bucks,97
Cleveland Cavaliers,91,Utah Jazz,83
Toronto Raptors,102,Oklahoma City Thunder,123
Atlanta Hawks,91,Memphis Grizzlies,103
New York Knicks,110,Brooklyn Nets,121
Denver Nuggets,129,Los Angeles Clippers,114
Golden State Warriors,122,Orlando Magic,92
Philadelphia 76ers,116,Dallas Mavericks,74
Washington Wizards,112,Chicago Bulls,107
Brooklyn Nets,95,Boston Celtics,98
Detroit Pistons,75,Toronto Raptors,87
Miami Heat,123,Minnesota Timberwolves,105
New Orleans Pelicans,128,Houston Rockets,112
Phoenix Suns,103,Orlando Magic,109
Los Angeles Lakers,103,Milwaukee Bucks,107
Oklahoma City Thunder,110,Sacramento Kings,94
Atlanta Hawks,97,Portland Trail Blazers,113
Charlotte Hornets,98,Washington Wizards,93
Los Angeles Clippers,108,Cleveland Cavaliers,78
Chicago Bulls,95,Utah Jazz,86
Memphis Grizzlies,104,San Antonio Spurs,96
Denver Nuggets,105,Houston Rockets,109
Golden State Warriors,117,Milwaukee Bucks,92
Brooklyn Nets,104,Dallas Mavericks,111
Philadelphia 76ers,105,Boston Celtics,99
Detroit Pistons,112,Phoenix Suns,95
Miami Heat,104,Portland Trail Blazers,115
New Orleans Pelicans,123,Minnesota Timberwolves,109
Toronto Raptors,116,Indiana Pacers,91
San Antonio Spurs,118,Sacramento Kings,102
Los Angeles Lakers,120,Cleveland Cavaliers,125
Charlotte Hornets,105,Atlanta Hawks,90
Indiana Pacers,107,Utah Jazz,100
Orlando Magic,112,Philadelphia 76ers,109
Boston Celtics,110,Washington Wizards,102
Houston Rockets,125,Denver Nuggets,124
Oklahoma City Thunder,95,Golden State Warriors,111
Los Angeles Clippers,114,New York Knicks,105
Toronto Raptors,122,Chicago Bulls,120
Brooklyn Nets,98,Detroit Pistons,96
Miami Heat,112,Phoenix Suns,97
New Orleans Pelicans,95,Memphis Grizzlies,82
Dallas Mavericks,87,Golden State Warriors,112
Minnesota Timberwolves,93,San Antonio Spurs,100
Portland Trail Blazers,90,Milwaukee Bucks,93
Los Angeles Lakers,109,Los Angeles Clippers,133
Orlando Magic,102,Charlotte Hornets,109
Boston Celtics,109,Indiana Pacers,100
Chicago Bulls,117,Detroit Pistons,95
Oklahoma City Thunder,122,Philadelphia 76ers,97
Washington Wizards,104,Atlanta Hawks,100
Denver Nuggets,126,Cleveland Cavaliers,113
Sacramento Kings,98,Milwaukee Bucks,116
Utah Jazz,108,New York Knicks,101
Brooklyn Nets,126,Phoenix Suns,98
Miami Heat,84,Toronto Raptors,101
Dallas Mavericks,97,Los Angeles Clippers,95
San Antonio Spurs,97,Memphis Grizzlies,90
Portland Trail Blazers,110,New York Knicks,95
Charlotte Hornets,105,Cleveland Cavaliers,112
Indiana Pacers,117,Denver Nuggets,125
Orlando Magic,115,Detroit Pistons,87
Washington Wizards,129,Brooklyn Nets,108
Boston Celtics,130,Phoenix Suns,120
Chicago Bulls,107,Philadelphia 76ers,117
Houston Rockets,117,New Orleans Pelicans,107
Milwaukee Bucks,100,Atlanta Hawks,97
Golden State Warriors,114,Sacramento Kings,100
Los Angeles Lakers,130,Minnesota Timberwolves,119
Los Angeles Clippers,108,Utah Jazz,95
Cleveland Cavaliers,115,Washington Wizards,127
Dallas Mavericks,86,Toronto Raptors,94
San Antonio Spurs,106,New York Knicks,98
Portland Trail Blazers,112,Minnesota Timberwolves,100
Atlanta Hawks,92,Brooklyn Nets,107
Charlotte Hornets,120,Phoenix Suns,106
Houston Rockets,137,Oklahoma City Thunder,125
Los Angeles Clippers,97,Sacramento Kings,98
Milwaukee Bucks,94,Chicago Bulls,109
Boston Celtics,112,Miami Heat,108
Indiana Pacers,107,Philadelphia 76ers,94
Denver Nuggets,90,New Orleans Pelicans,115
Golden State Warriors,106,Memphis Grizzlies,94
Los Angeles Lakers,81,Portland Trail Blazers,97
New York Knicks,109,Detroit Pistons,95
Toronto Raptors,131,Orlando Magic,112
San Antonio Spurs,103,Cleveland Cavaliers,74
Dallas Mavericks,91,Oklahoma City Thunder,92
Sacramento Kings,91,Memphis Grizzlies,90
Utah Jazz,108,New Orleans Pelicans,100
Charlotte Hornets,108,Milwaukee Bucks,118
Indiana Pacers,114,Minnesota Timberwolves,115
Atlanta Hawks,95,Phoenix Suns,91
Brooklyn Nets,101,Philadelphia 76ers,106
Detroit Pistons,96,Miami Heat,97
Houston Rockets,106,Golden State Warriors,113
Portland Trail Blazers,122,Denver Nuggets,113
Los Angeles Lakers,108,Washington Wizards,119
Orlando Magic,106,Oklahoma City Thunder,114
Philadelphia 76ers,92,Atlanta Hawks,99
Boston Celtics,100,Milwaukee Bucks,103
New York Knicks,88,Miami Heat,105
Toronto Raptors,106,Charlotte Hornets,110
Memphis Grizzlies,110,Indiana Pacers,97
New Orleans Pelicans,121,Dallas Mavericks,118
San Antonio Spurs,98,Golden State Warriors,110
Los Angeles Clippers,133,Washington Wizards,124
Sacramento Kings,82,Utah Jazz,112
Detroit Pistons,90,Brooklyn Nets,89
Chicago Bulls,99,Cleveland Cavaliers,93
Minnesota Timberwolves,119,Los Angeles Lakers,104
Phoenix Suns,118,Los Angeles Clippers,124
Portland Trail Blazers,117,Houston Rockets,107
Charlotte Hornets,122,Denver Nuggets,114
Toronto Raptors,111,Indiana Pacers,100
Boston Celtics,117,Orlando Magic,116
Cleveland Cavaliers,122,Philadelphia 76ers,105
Memphis Grizzlies,99,Dallas Mavericks,90
Miami Heat,94,New York Knicks,98
Milwaukee Bucks,108,Detroit Pistons,105
New Orleans Pelicans,117,Sacramento Kings,89
Oklahoma City Thunder,95,San Antonio Spurs,100
Utah Jazz,95,Washington Wizards,88
Golden State Warriors,107,Houston Rockets,98
Los Angeles Clippers,115,Los Angeles Lakers,104
Chicago Bulls,106,Atlanta Hawks,104
Brooklyn Nets,121,Orlando Magic,111
Minnesota Timberwolves,117,Sacramento Kings,123
Portland Trail Blazers,130,Phoenix Suns,117
New York Knicks,94,Boston Celtics,110
Oklahoma City Thunder,101,Charlotte Hornets,113
Los Angeles Lakers,108,Memphis Grizzlies,103
Milwaukee Bucks,105,Dallas Mavericks,109
San Antonio Spurs,109,Utah Jazz,103
Brooklyn Nets,91,Atlanta Hawks,82
Cleveland Cavaliers,135,Indiana Pacers,130
Miami Heat,113,Denver Nuggets,116
New Orleans Pelicans,110,Chicago Bulls,117
Toronto Raptors,113,Philadelphia 76ers,105
Golden State Warriors,139,Washington Wizards,115
Phoenix Suns,116,Houston Rockets,123
Minnesota Timberwolves,110,Portland Trail Blazers,109
Cleveland Cavaliers,122,Orlando Magic,102
Indiana Pacers,108,Toronto Raptors,90
Philadelphia 76ers,118,Brooklyn Nets,141
Washington Wizards,118,Charlotte Hornets,111
New Orleans Pelicans,131,Denver Nuggets,134
New York Knicks,100,Chicago Bulls,91
Oklahoma City Thunder,110,Milwaukee Bucks,79
San Antonio Spurs,95,Memphis Grizzlies,89
Utah Jazz,106,Portland Trail Blazers,87
Golden State Warriors,121,Minnesota Timberwolves,107
Sacramento Kings,98,Dallas Mavericks,87
Charlotte Hornets,99,Miami Heat,112
Detroit Pistons,102,Toronto Raptors,105
Boston Celtics,91,Cleveland Cavaliers,114
Houston Rockets,110,Denver Nuggets,104
Memphis Grizzlies,100,Oklahoma City Thunder,103
San Antonio Spurs,95,Los Angeles Lakers,102
Phoenix Suns,111,Golden State Warriors,120
Los Angeles Clippers,112,Dallas Mavericks,101
Indiana Pacers,104,Milwaukee Bucks,89
Orlando Magic,115,Brooklyn Nets,107
Philadelphia 76ers,90,Chicago Bulls,102
New York Knicks,103,Washington Wizards,106
Atlanta Hawks,123,Boston Celtics,116
Portland Trail Blazers,105,Minnesota Timberwolves,98
Cleveland Cavaliers,100,Atlanta Hawks,114
Toronto Raptors,96,Miami Heat,94
Houston Rockets,109,Detroit Pistons,114
Memphis Grizzlies,101,New York Knicks,88
Dallas Mavericks,89,San Antonio Spurs,102
Denver Nuggets,122,New Orleans Pelicans,106
Utah Jazz,120,Minnesota Timberwolves,113
Phoenix Suns,120,Oklahoma City Thunder,99
Los Angeles Lakers,98,Sacramento Kings,94
Brooklyn Nets,107,Chicago Bulls,106
Charlotte Hornets,114,Boston Celtics,121
Orlando Magic,112,Indiana Pacers,127
Philadelphia 76ers,82,Milwaukee Bucks,90
Washington Wizards,103,Miami Heat,106
San Antonio Spurs,87,Los Angeles Clippers,98
Portland Trail Blazers,101,Utah Jazz,86
Golden State Warriors,123,New Orleans Pelicans,101
New York Knicks,97,Toronto Raptors,110
Atlanta Hawks,126,Cleveland Cavaliers,125
Denver Nuggets,105,Oklahoma City Thunder,106
Memphis Grizzlies,90,Detroit Pistons,103
Phoenix Suns,124,Dallas Mavericks,111
