Team 1,Team 1 Points,Team 2,Team 2 Points,Home Team
Charlotte Hornets,110,Denver Nuggets,93,Charlotte Hornets
Detroit Pistons,122,Minnesota Timberwolves,101,Detroit Pistons
Philadelphia 76ers,104,Houston Rockets,105,Philadelphia 76ers
Brooklyn Nets,112,Cleveland Cavaliers,107,Brooklyn Nets
Miami Heat,100,San Antonio Spurs,117,Miami Heat
Oklahoma City Thunder,114,Indiana Pacers,96,Oklahoma City Thunder
Dallas Mavericks,103,Memphis Grizzlies,94,Dallas Mavericks
Phoenix Suns,97,Utah Jazz,88,Phoenix Suns
Golden State Warriors,117,Toronto Raptors,112,Golden State Warriors
Los Angeles Lakers,102,Washington Wizards,99,Los Angeles Lakers
Chicago Bulls,91,Atlanta Hawks,86,Chicago Bulls
Memphis Grizzlies,96,Dallas Mavericks,91,Memphis Grizzlies
Milwaukee Bucks,89,Boston Celtics,96,Milwaukee Bucks
Portland Trail Blazers,103,Los Angeles Clippers,104,Portland Trail Blazers
Sacramento Kings,106,New Orleans Pelicans,114,Sacramento Kings
Charlotte Hornets,93,Houston Rockets,109,Charlotte Hornets
Orlando Magic,114,San Antonio Spurs,87,Orlando Magic
Atlanta Hawks,100,Denver Nuggets,105,Atlanta Hawks
New York Knicks,107,Brooklyn Nets,86,New York Knicks
Minnesota Timberwolves,119,Oklahoma City Thunder,116,Minnesota Timberwolves
Golden State Warriors,120,Washington Wizards,117,Golden State Warriors
Los Angeles Lakers,92,Toronto Raptors,101,Los Angeles Lakers
New Orleans Pelicans,123,Cleveland Cavaliers,101,New Orleans Pelicans
Chicago Bulls,69,Oklahoma City Thunder,101,Chicago Bulls
Memphis Grizzlies,103,Houston Rockets,89,Memphis Grizzlies
Miami Heat,90,Boston Celtics,96,Miami Heat
Dallas Mavericks,110,Philadelphia 76ers,112,Dallas Mavericks
Utah Jazz,96,Los Angeles Lakers,81,Utah Jazz
Portland Trail Blazers,114,Phoenix Suns,107,Portland Trail Blazers
Los Angeles Clippers,87,Detroit Pistons,95,Los Angeles Clippers
Atlanta Hawks,106,Milwaukee Bucks,117,Atlanta Hawks
Indiana Pacers,97,San Antonio Spurs,94,Indiana Pacers
Brooklyn Nets,111,Denver Nuggets,124,Brooklyn Nets
Charlotte Hornets,120,Orlando Magic,113,Charlotte Hornets
Sacramento Kings,83,Washington Wizards,110,Sacramento Kings
Cleveland Cavaliers,95,New York Knicks,114,Cleveland Cavaliers
Golden State Warriors,107,Detroit Pistons,115,Golden State Warriors
Boston Celtics,108,San Antonio Spurs,94,Boston Celtics
Miami Heat,122,Minnesota Timberwolves,125,Miami Heat
New York Knicks,116,Denver Nuggets,110,New York Knicks
Houston Rockets,107,Philadelphia 76ers,115,Houston Rockets
Memphis Grizzlies,99,Charlotte Hornets,104,Memphis Grizzlies
New Orleans Pelicans,99,Orlando Magic,115,New Orleans Pelicans
Utah Jazz,104,Dallas Mavericks,89,Utah Jazz
Portland Trail Blazers,85,Toronto Raptors,99,Portland Trail Blazers
Los Angeles Clippers,113,Golden State Warriors,141,Los Angeles Clippers
Indiana Pacers,101,Sacramento Kings,83,Indiana Pacers
Brooklyn Nets,114,Phoenix Suns,122,Brooklyn Nets
Milwaukee Bucks,91,Oklahoma City Thunder,110,Milwaukee Bucks
Los Angeles Lakers,113,Detroit Pistons,93,Los Angeles Lakers
Charlotte Hornets,126,Milwaukee Bucks,121,Charlotte Hornets
Cleveland Cavaliers,107,Indiana Pacers,124,Cleveland Cavaliers
Philadelphia 76ers,119,Atlanta Hawks,109,Philadelphia 76ers
Washington Wizards,116,Phoenix Suns,122,Washington Wizards
Boston Celtics,113,Sacramento Kings,86,Boston Celtics
Miami Heat,97,Chicago Bulls,91,Miami Heat
Memphis Grizzlies,99,Orlando Magic,101,Memphis Grizzlies
New Orleans Pelicans,98,Minnesota Timberwolves,104,New Orleans Pelicans
New York Knicks,97,Houston Rockets,119,New York Knicks
Denver Nuggets,129,Toronto Raptors,111,Denver Nuggets
Utah Jazz,112,Portland Trail Blazers,103,Utah Jazz
Los Angeles Clippers,119,Dallas Mavericks,98,Los Angeles Clippers
San Antonio Spurs,92,Golden State Warriors,112,San Antonio Spurs
Portland Trail Blazers,113,Los Angeles Lakers,110,Portland Trail Blazers
Detroit Pistons,105,Milwaukee Bucks,96,Detroit Pistons
Orlando Magic,83,Chicago Bulls,105,Orlando Magic
Philadelphia 76ers,121,Indiana Pacers,110,Philadelphia 76ers
Washington Wizards,122,Cleveland Cavaliers,130,Washington Wizards
Atlanta Hawks,104,Houston Rockets,119,Atlanta Hawks
New York Knicks,120,Phoenix Suns,107,New York Knicks
Dallas Mavericks,94,New Orleans Pelicans,99,Dallas Mavericks
San Antonio Spurs,108,Charlotte Hornets,101,San Antonio Spurs
Denver Nuggets,95,Miami Heat,94,Denver Nuggets
Utah Jazz,100,Toronto Raptors,109,Utah Jazz
Oklahoma City Thunder,94,Boston Celtics,101,Oklahoma City Thunder
Los Angeles Lakers,124,Brooklyn Nets,112,Los Angeles Lakers
Los Angeles Clippers,104,Memphis Grizzlies,113,Los Angeles Clippers
Detroit Pistons,108,Sacramento Kings,99,Detroit Pistons
Chicago Bulls,90,New Orleans Pelicans,96,Chicago Bulls
Minnesota Timberwolves,112,Dallas Mavericks,99,Minnesota Timberwolves
Denver Nuggets,108,Golden State Warriors,127,Denver Nuggets
Cleveland Cavaliers,115,Atlanta Hawks,117,Cleveland Cavaliers
Los Angeles Clippers,101,Miami Heat,104,Los Angeles Clippers
Orlando Magic,88,Boston Celtics,104,Orlando Magic
Toronto Raptors,96,Washington Wizards,107,Toronto Raptors
Houston Rockets,137,Utah Jazz,110,Houston Rockets
San Antonio Spurs,112,Phoenix Suns,95,San Antonio Spurs
New York Knicks,108,Indiana Pacers,101,New York Knicks
Minnesota Timberwolves,112,Charlotte Hornets,94,Minnesota Timberwolves
Portland Trail Blazers,103,Oklahoma City Thunder,99,Portland Trail Blazers
Los Angeles Lakers,107,Memphis Grizzlies,102,Los Angeles Lakers
Atlanta Hawks,107,Boston Celtics,110,Atlanta Hawks
Phoenix Suns,92,Brooklyn Nets,98,Phoenix Suns
Golden State Warriors,97,Miami Heat,80,Golden State Warriors
Cleveland Cavaliers,124,Milwaukee Bucks,119,Cleveland Cavaliers
Indiana Pacers,112,New Orleans Pelicans,117,Indiana Pacers
Washington Wizards,99,Dallas Mavericks,113,Washington Wizards
New York Knicks,118,Charlotte Hornets,113,New York Knicks
Toronto Raptors,119,Chicago Bulls,114,Toronto Raptors
San Antonio Spurs,120,Los Angeles Clippers,107,San Antonio Spurs
Denver Nuggets,112,Brooklyn Nets,104,Denver Nuggets
Utah Jazz,97,Philadelphia 76ers,104,Utah Jazz
Portland Trail Blazers,97,Memphis Grizzlies,98,Portland Trail Blazers
Sacramento Kings,94,Oklahoma City Thunder,86,Sacramento Kings
Detroit Pistons,114,Indiana Pacers,97,Detroit Pistons
Orlando Magic,112,New York Knicks,99,Orlando Magic
Boston Celtics,107,Los Angeles Lakers,96,Boston Celtics
Phoenix Suns,115,Miami Heat,126,Phoenix Suns
Golden State Warriors,125,Minnesota Timberwolves,101,Golden State Warriors
Washington Wizards,111,Los Angeles Lakers,95,Washington Wizards
Toronto Raptors,122,New Orleans Pelicans,118,Toronto Raptors
Houston Rockets,117,Cleveland Cavaliers,113,Houston Rockets
Sacramento Kings,109,Philadelphia 76ers,108,Sacramento Kings
Denver Nuggets,102,Oklahoma City Thunder,94,Denver Nuggets
Detroit Pistons,111,Atlanta Hawks,104,Detroit Pistons
Boston Celtics,90,Charlotte Hornets,87,Boston Celtics
Chicago Bulls,87,Indiana Pacers,105,Chicago Bulls
Oklahoma City Thunder,120,Los Angeles Clippers,111,Oklahoma City Thunder
Phoenix Suns,112,Orlando Magic,128,Phoenix Suns
San Antonio Spurs,87,Milwaukee Bucks,94,San Antonio Spurs
Utah Jazz,74,Miami Heat,84,Utah Jazz
Portland Trail Blazers,97,Brooklyn Nets,101,Portland Trail Blazers
New Orleans Pelicans,111,Los Angeles Clippers,103,New Orleans Pelicans
Washington Wizards,113,Atlanta Hawks,94,Washington Wizards
Houston Rockets,111,Memphis Grizzlies,96,Houston Rockets
New York Knicks,118,Sacramento Kings,91,New York Knicks
Dallas Mavericks,104,Cleveland Cavaliers,111,Dallas Mavericks
Golden State Warriors,135,Philadelphia 76ers,114,Golden State Warriors
Milwaukee Bucks,98,Los Angeles Lakers,90,Milwaukee Bucks
San Antonio Spurs,133,Chicago Bulls,94,San Antonio Spurs
Denver Nuggets,125,Orlando Magic,107,Denver Nuggets
Phoenix Suns,118,Minnesota Timberwolves,110,Phoenix Suns
Utah Jazz,114,Brooklyn Nets,106,Utah Jazz
Boston Celtics,95,Toronto Raptors,94,Boston Celtics
Detroit Pistons,112,Miami Heat,103,Detroit Pistons
Indiana Pacers,95,Houston Rockets,118,Indiana Pacers
Oklahoma City Thunder,112,Dallas Mavericks,99,Oklahoma City Thunder
Washington Wizards,110,Sacramento Kings,92,Washington Wizards
New York Knicks,101,Cleveland Cavaliers,104,New York Knicks
Milwaukee Bucks,110,Memphis Grizzlies,103,Milwaukee Bucks
New Orleans Pelicans,106,Atlanta Hawks,105,New Orleans Pelicans
Phoenix Suns,93,Los Angeles Lakers,100,Phoenix Suns
Utah Jazz,98,Minnesota Timberwolves,109,Utah Jazz
Portland Trail Blazers,99,Denver Nuggets,82,Portland Trail Blazers
Golden State Warriors,110,Orlando Magic,100,Golden State Warriors
Los Angeles Clippers,105,Philadelphia 76ers,109,Los Angeles Clippers
Brooklyn Nets,102,Boston Celtics,109,Brooklyn Nets
Houston Rockets,113,Toronto Raptors,129,Houston Rockets
Dallas Mavericks,91,San Antonio Spurs,97,Dallas Mavericks
Atlanta Hawks,126,Sacramento Kings,80,Atlanta Hawks
Miami Heat,93,Washington Wizards,102,Miami Heat
New York Knicks,106,Utah Jazz,101,New York Knicks
Charlotte Hornets,107,Cleveland Cavaliers,115,Charlotte Hornets
Memphis Grizzlies,113,Indiana Pacers,116,Memphis Grizzlies
Milwaukee Bucks,99,Detroit Pistons,95,Milwaukee Bucks
Minnesota Timberwolves,98,San Antonio Spurs,86,Minnesota Timberwolves
New Orleans Pelicans,116,Toronto Raptors,125,New Orleans Pelicans
Oklahoma City Thunder,92,Chicago Bulls,79,Oklahoma City Thunder
Portland Trail Blazers,99,Orlando Magic,94,Portland Trail Blazers
Los Angeles Lakers,109,Philadelphia 76ers,115,Los Angeles Lakers
Boston Celtics,92,Golden State Warriors,88,Boston Celtics
Phoenix Suns,116,Houston Rockets,142,Phoenix Suns
Indiana Pacers,107,Detroit Pistons,100,Indiana Pacers
Washington Wizards,88,Miami Heat,91,Washington Wizards
Brooklyn Nets,118,Utah Jazz,107,Brooklyn Nets
Cleveland Cavaliers,118,Los Angeles Clippers,113,Cleveland Cavaliers
Toronto Raptors,107,New York Knicks,84,Toronto Raptors
Chicago Bulls,123,Charlotte Hornets,120,Chicago Bulls
San Antonio Spurs,104,Oklahoma City Thunder,101,San Antonio Spurs
Dallas Mavericks,87,Minnesota Timberwolves,111,Dallas Mavericks
Sacramento Kings,86,Portland Trail Blazers,82,Sacramento Kings
Denver Nuggets,146,New Orleans Pelicans,114,Denver Nuggets
Los Angeles Lakers,113,Phoenix Suns,122,Los Angeles Lakers
Charlotte Hornets,102,Los Angeles Clippers,87,Charlotte Hornets
Orlando Magic,85,Utah Jazz,125,Orlando Magic
Atlanta Hawks,99,Boston Celtics,110,Atlanta Hawks
Philadelphia 76ers,116,Golden State Warriors,124,Philadelphia 76ers
Memphis Grizzlies,83,Houston Rockets,105,Memphis Grizzlies
Dallas Mavericks,111,Milwaukee Bucks,79,Dallas Mavericks
Portland Trail Blazers,102,Sacramento Kings,90,Portland Trail Blazers
Toronto Raptors,100,Washington Wizards,91,Toronto Raptors
Miami Heat,95,Indiana Pacers,120,Miami Heat
Brooklyn Nets,111,Golden State Warriors,118,Brooklyn Nets
Minnesota Timberwolves,97,Detroit Pistons,100,Minnesota Timberwolves
Phoenix Suns,113,Chicago Bulls,105,Phoenix Suns
Los Angeles Lakers,127,Denver Nuggets,109,Los Angeles Lakers
Charlotte Hornets,118,Minnesota Timberwolves,102,Charlotte Hornets
Detroit Pistons,88,Cleveland Cavaliers,116,Detroit Pistons
Orlando Magic,97,Indiana Pacers,105,Orlando Magic
Philadelphia 76ers,107,Utah Jazz,86,Philadelphia 76ers
New York Knicks,107,Los Angeles Clippers,85,New York Knicks
Memphis Grizzlies,92,Portland Trail Blazers,100,Memphis Grizzlies
Milwaukee Bucks,88,Washington Wizards,99,Milwaukee Bucks
New Orleans Pelicans,114,Oklahoma City Thunder,107,New Orleans Pelicans
Dallas Mavericks,102,Boston Celtics,110,Dallas Mavericks
San Antonio Spurs,96,Atlanta Hawks,85,San Antonio Spurs
Sacramento Kings,98,Denver Nuggets,114,Sacramento Kings
Los Angeles Lakers,103,Chicago Bulls,94,Los Angeles Lakers
Charlotte Hornets,129,Washington Wizards,124,Charlotte Hornets
Cleveland Cavaliers,119,Brooklyn Nets,109,Cleveland Cavaliers
Philadelphia 76ers,101,Portland Trail Blazers,81,Philadelphia 76ers
Atlanta Hawks,103,Los Angeles Clippers,116,Atlanta Hawks
Miami Heat,104,Boston Celtics,98,Miami Heat
New York Knicks,108,Toronto Raptors,100,New York Knicks
Houston Rockets,125,Denver Nuggets,95,Houston Rockets
Memphis Grizzlies,94,Dallas Mavericks,95,Memphis Grizzlies
Minnesota Timberwolves,124,Orlando Magic,118,Minnesota Timberwolves
New Orleans Pelicans,107,San Antonio Spurs,90,New Orleans Pelicans
Oklahoma City Thunder,108,Golden State Warriors,91,Oklahoma City Thunder
Phoenix Suns,107,Milwaukee Bucks,113,Phoenix Suns
Utah Jazz,110,Chicago Bulls,80,Utah Jazz
Sacramento Kings,113,Los Angeles Lakers,102,Sacramento Kings
Brooklyn Nets,125,Portland Trail Blazers,127,Brooklyn Nets
Atlanta Hawks,116,New York Knicks,104,Atlanta Hawks
Boston Celtics,118,Orlando Magic,103,Boston Celtics
Cleveland Cavaliers,100,Charlotte Hornets,99,Cleveland Cavaliers
Indiana Pacers,107,Toronto Raptors,104,Indiana Pacers
Minnesota Timberwolves,97,Miami Heat,109,Minnesota Timberwolves
Oklahoma City Thunder,98,Detroit Pistons,99,Oklahoma City Thunder
Denver Nuggets,104,Memphis Grizzlies,92,Denver Nuggets
Phoenix Suns,91,New Orleans Pelicans,115,Phoenix Suns
Golden State Warriors,143,Chicago Bulls,94,Golden State Warriors
Charlotte Hornets,86,San Antonio Spurs,106,Charlotte Hornets
Philadelphia 76ers,130,Orlando Magic,111,Philadelphia 76ers
Washington Wizards,105,Portland Trail Blazers,108,Washington Wizards
Atlanta Hawks,78,Toronto Raptors,112,Atlanta Hawks
Houston Rockets,117,New York Knicks,102,Houston Rockets
Indiana Pacers,98,Boston Celtics,108,Indiana Pacers
Dallas Mavericks,97,Oklahoma City Thunder,81,Dallas Mavericks
Golden State Warriors,110,New Orleans Pelicans,95,Golden State Warriors
Utah Jazz,121,Milwaukee Bucks,108,Utah Jazz
Sacramento Kings,95,Los Angeles Clippers,97,Sacramento Kings
Chicago Bulls,93,Miami Heat,100,Chicago Bulls
Minnesota Timberwolves,119,Phoenix Suns,108,Minnesota Timberwolves
Memphis Grizzlies,88,Brooklyn Nets,98,Memphis Grizzlies
Indiana Pacers,121,Orlando Magic,109,Indiana Pacers
Philadelphia 76ers,91,Cleveland Cavaliers,113,Philadelphia 76ers
Boston Celtics,108,Detroit Pistons,118,Boston Celtics
New York Knicks,91,Portland Trail Blazers,103,New York Knicks
Houston Rockets,117,Brooklyn Nets,103,Houston Rockets
San Antonio Spurs,115,Dallas Mavericks,108,San Antonio Spurs
Golden State Warriors,106,Sacramento Kings,110,Golden State Warriors
Los Angeles Clippers,120,Los Angeles Lakers,115,Los Angeles Clippers
Cleveland Cavaliers,108,Miami Heat,97,Cleveland Cavaliers
Chicago Bulls,99,Phoenix Suns,104,Chicago Bulls
Minnesota Timberwolves,89,Washington Wizards,92,Minnesota Timberwolves
Sacramento Kings,87,Milwaukee Bucks,112,Sacramento Kings
Utah Jazz,106,Denver Nuggets,77,Utah Jazz
Detroit Pistons,131,Phoenix Suns,107,Detroit Pistons
Orlando Magic,121,Oklahoma City Thunder,108,Orlando Magic
Philadelphia 76ers,118,Washington Wizards,113,Philadelphia 76ers
New York Knicks,115,Miami Heat,86,New York Knicks
Toronto Raptors,126,Charlotte Hornets,113,Toronto Raptors
Houston Rockets,118,Indiana Pacers,97,Houston Rockets
New Orleans Pelicans,102,Minnesota Timberwolves,120,New Orleans Pelicans
Dallas Mavericks,104,Brooklyn Nets,109,Dallas Mavericks
San Antonio Spurs,104,Memphis Grizzlies,95,San Antonio Spurs
Los Angeles Lakers,123,Golden State Warriors,127,Los Angeles Lakers
Atlanta Hawks,114,Cleveland Cavaliers,121,Atlanta Hawks
Boston Celtics,108,Philadelphia 76ers,97,Boston Celtics
Denver Nuggets,111,Chicago Bulls,110,Denver Nuggets
Portland Trail Blazers,91,Milwaukee Bucks,103,Portland Trail Blazers
Los Angeles Clippers,107,Utah Jazz,126,Los Angeles Clippers
Orlando Magic,112,Golden State Warriors,133,Orlando Magic
Washington Wizards,109,Detroit Pistons,91,Washington Wizards
Toronto Raptors,120,Indiana Pacers,115,Toronto Raptors
Chicago Bulls,106,Sacramento Kings,107,Chicago Bulls
Memphis Grizzlies,79,San Antonio Spurs,95,Memphis Grizzlies
Miami Heat,105,Charlotte Hornets,100,Miami Heat
Oklahoma City Thunder,111,Minnesota Timberwolves,107,Oklahoma City Thunder
Utah Jazz,114,New Orleans Pelicans,108,Utah Jazz
Boston Celtics,116,Phoenix Suns,111,Boston Celtics
Dallas Mavericks,108,Los Angeles Clippers,82,Dallas Mavericks
Brooklyn Nets,102,Atlanta Hawks,114,Brooklyn Nets
Cleveland Cavaliers,116,Memphis Grizzlies,111,Cleveland Cavaliers
Philadelphia 76ers,108,Detroit Pistons,103,Philadelphia 76ers
Milwaukee Bucks,109,Sacramento Kings,104,Milwaukee Bucks
Denver Nuggets,115,Los Angeles Lakers,100,Denver Nuggets
Portland Trail Blazers,116,New Orleans Pelicans,123,Portland Trail Blazers
New York Knicks,100,Orlando Magic,105,New York Knicks
Miami Heat,95,Golden State Warriors,123,Miami Heat
Minnesota Timberwolves,112,Los Angeles Clippers,106,Minnesota Timberwolves
Oklahoma City Thunder,90,San Antonio Spurs,87,Oklahoma City Thunder
Los Angeles Lakers,95,Houston Rockets,118,Los Angeles Lakers
Charlotte Hornets,104,Orlando Magic,94,Charlotte Hornets
Indiana Pacers,115,New York Knicks,97,Indiana Pacers
Philadelphia 76ers,101,Phoenix Suns,115,Philadelphia 76ers
Atlanta Hawks,90,Brooklyn Nets,110,Atlanta Hawks
Boston Celtics,111,Milwaukee Bucks,100,Boston Celtics
Chicago Bulls,91,Cleveland Cavaliers,113,Chicago Bulls
Memphis Grizzlies,95,Minnesota Timberwolves,92,Memphis Grizzlies
New Orleans Pelicans,115,Golden State Warriors,125,New Orleans Pelicans
Dallas Mavericks,122,Denver Nuggets,105,Dallas Mavericks
San Antonio Spurs,96,Detroit Pistons,93,San Antonio Spurs
Utah Jazz,116,Washington Wizards,69,Utah Jazz
Toronto Raptors,126,Phoenix Suns,113,Toronto Raptors
Oklahoma City Thunder,100,Utah Jazz,94,Oklahoma City Thunder
Portland Trail Blazers,92,Washington Wizards,106,Portland Trail Blazers
Cleveland Cavaliers,101,Sacramento Kings,95,Cleveland Cavaliers
Indiana Pacers,98,Chicago Bulls,96,Indiana Pacers
Orlando Magic,110,Atlanta Hawks,106,Orlando Magic
Boston Celtics,97,Dallas Mavericks,90,Boston Celtics
New York Knicks,99,Memphis Grizzlies,88,New York Knicks
Charlotte Hornets,87,Golden State Warriors,101,Charlotte Hornets
Milwaukee Bucks,104,Detroit Pistons,100,Milwaukee Bucks
New Orleans Pelicans,123,Denver Nuggets,114,New Orleans Pelicans
San Antonio Spurs,117,Miami Heat,105,San Antonio Spurs
Los Angeles Clippers,107,Minnesota Timberwolves,113,Los Angeles Clippers
Philadelphia 76ers,104,Los Angeles Lakers,107,Philadelphia 76ers
Phoenix Suns,99,Washington Wizards,109,Phoenix Suns
Brooklyn Nets,100,Oklahoma City Thunder,95,Brooklyn Nets
Utah Jazz,101,Houston Rockets,112,Utah Jazz
Charlotte Hornets,111,Chicago Bulls,119,Charlotte Hornets
Detroit Pistons,98,Golden State Warriors,102,Detroit Pistons
Indiana Pacers,106,Cleveland Cavaliers,102,Indiana Pacers
Orlando Magic,89,Denver Nuggets,103,Orlando Magic
Memphis Grizzlies,107,Toronto Raptors,116,Memphis Grizzlies
Milwaukee Bucks,109,Dallas Mavericks,102,Milwaukee Bucks
New Orleans Pelicans,109,Sacramento Kings,116,New Orleans Pelicans
San Antonio Spurs,105,Boston Celtics,102,San Antonio Spurs
Los Angeles Clippers,113,Washington Wizards,112,Los Angeles Clippers
Brooklyn Nets,89,Miami Heat,101,Brooklyn Nets
Charlotte Hornets,99,Los Angeles Lakers,110,Charlotte Hornets
Atlanta Hawks,117,Orlando Magic,110,Atlanta Hawks
Chicago Bulls,104,New York Knicks,102,Chicago Bulls
Cleveland Cavaliers,105,Philadelphia 76ers,98,Cleveland Cavaliers
Milwaukee Bucks,117,Utah Jazz,100,Milwaukee Bucks
Memphis Grizzlies,101,Oklahoma City Thunder,102,Memphis Grizzlies
Phoenix Suns,101,San Antonio Spurs,104,Phoenix Suns
Portland Trail Blazers,117,Houston Rockets,124,Portland Trail Blazers
Sacramento Kings,87,Toronto Raptors,102,Sacramento Kings
Detroit Pistons,81,Boston Celtics,91,Detroit Pistons
Indiana Pacers,126,Denver Nuggets,116,Indiana Pacers
Minnesota Timberwolves,97,Dallas Mavericks,92,Minnesota Timberwolves
New Orleans Pelicans,131,Philadelphia 76ers,124,New Orleans Pelicans
New York Knicks,111,Atlanta Hawks,107,New York Knicks
Chicago Bulls,108,Boston Celtics,85,Chicago Bulls
Houston Rockets,130,New Orleans Pelicans,123,Houston Rockets
Memphis Grizzlies,82,Miami Heat,107,Memphis Grizzlies
Oklahoma City Thunder,103,Charlotte Hornets,116,Oklahoma City Thunder
Golden State Warriors,111,Portland Trail Blazers,104,Golden State Warriors
Los Angeles Clippers,96,Toronto Raptors,91,Los Angeles Clippers
Cleveland Cavaliers,123,Atlanta Hawks,114,Cleveland Cavaliers
Detroit Pistons,84,Denver Nuggets,103,Detroit Pistons
New York Knicks,113,Los Angeles Lakers,109,New York Knicks
Brooklyn Nets,103,Washington Wizards,98,Brooklyn Nets
Dallas Mavericks,95,San Antonio Spurs,89,Dallas Mavericks
Minnesota Timberwolves,112,Philadelphia 76ers,118,Minnesota Timberwolves
Sacramento Kings,99,Phoenix Suns,92,Sacramento Kings
Indiana Pacers,95,Oklahoma City Thunder,100,Indiana Pacers
Orlando Magic,95,Los Angeles Clippers,106,Orlando Magic
Washington Wizards,93,Memphis Grizzlies,87,Washington Wizards
Boston Celtics,124,Denver Nuggets,118,Boston Celtics
Miami Heat,95,Portland Trail Blazers,102,Miami Heat
Chicago Bulls,103,Utah Jazz,100,Chicago Bulls
New Orleans Pelicans,115,Milwaukee Bucks,108,New Orleans Pelicans
Phoenix Suns,109,Toronto Raptors,115,Phoenix Suns
Houston Rockets,108,Charlotte Hornets,96,Houston Rockets
Atlanta Hawks,91,Detroit Pistons,105,Atlanta Hawks
Brooklyn Nets,104,New York Knicks,111,Brooklyn Nets
Cleveland Cavaliers,121,Los Angeles Lakers,112,Cleveland Cavaliers
Minnesota Timberwolves,119,Sacramento Kings,96,Minnesota Timberwolves
Golden State Warriors,112,Dallas Mavericks,97,Golden State Warriors
Charlotte Hornets,98,Miami Heat,104,Charlotte Hornets
Indiana Pacers,98,Detroit Pistons,104,Indiana Pacers
Orlando Magic,88,Portland Trail Blazers,95,Orlando Magic
Philadelphia 76ers,117,Oklahoma City Thunder,119,Philadelphia 76ers
Washington Wizards,100,Los Angeles Clippers,91,Washington Wizards
Boston Celtics,95,Utah Jazz,107,Boston Celtics
Toronto Raptors,120,Brooklyn Nets,87,Toronto Raptors
Memphis Grizzlies,96,Atlanta Hawks,94,Memphis Grizzlies
Milwaukee Bucks,109,Chicago Bulls,115,Milwaukee Bucks
Denver Nuggets,117,New Orleans Pelicans,111,Denver Nuggets
Houston Rockets,124,San Antonio Spurs,109,Houston Rockets
Charlotte Hornets,91,Portland Trail Blazers,93,Charlotte Hornets
Cleveland Cavaliers,109,Utah Jazz,100,Cleveland Cavaliers
New York Knicks,111,Oklahoma City Thunder,96,New York Knicks
Houston Rockets,115,Milwaukee Bucks,111,Houston Rockets
Miami Heat,90,Los Angeles Clippers,85,Miami Heat
Minnesota Timberwolves,106,Phoenix Suns,108,Minnesota Timberwolves
San Antonio Spurs,98,Dallas Mavericks,96,San Antonio Spurs
Memphis Grizzlies,93,Boston Celtics,102,Memphis Grizzlies
Toronto Raptors,108,Sacramento Kings,93,Toronto Raptors
Detroit Pistons,114,Orlando Magic,110,Detroit Pistons
Brooklyn Nets,97,Indiana Pacers,109,Brooklyn Nets
Washington Wizards,99,Cleveland Cavaliers,106,Washington Wizards
Charlotte Hornets,109,New York Knicks,91,Charlotte Hornets
Indiana Pacers,111,Boston Celtics,112,Indiana Pacers
Atlanta Hawks,110,Miami Heat,104,Atlanta Hawks
Chicago Bulls,117,Philadelphia 76ers,115,Chicago Bulls
Houston Rockets,120,Utah Jazz,99,Houston Rockets
Minnesota Timberwolves,108,Portland Trail Blazers,107,Minnesota Timberwolves
Oklahoma City Thunder,95,Denver Nuggets,94,Oklahoma City Thunder
Dallas Mavericks,91,Phoenix Suns,97,Dallas Mavericks
San Antonio Spurs,109,Los Angeles Clippers,91,San Antonio Spurs
Los Angeles Lakers,114,Golden State Warriors,116,Los Angeles Lakers
Philadelphia 76ers,95,Sacramento Kings,101,Philadelphia 76ers
Washington Wizards,116,New Orleans Pelicans,106,Washington Wizards
Milwaukee Bucks,119,Cleveland Cavaliers,116,Milwaukee Bucks
Charlotte Hornets,111,Toronto Raptors,129,Charlotte Hornets
Atlanta Hawks,95,Indiana Pacers,105,Atlanta Hawks
Boston Celtics,89,Miami Heat,90,Boston Celtics
Brooklyn Nets,99,Sacramento Kings,104,Brooklyn Nets
Chicago Bulls,112,Orlando Magic,94,Chicago Bulls
Houston Rockets,116,Los Angeles Lakers,122,Houston Rockets
Oklahoma City Thunder,107,Utah Jazz,79,Oklahoma City Thunder
Dallas Mavericks,110,Detroit Pistons,93,Dallas Mavericks
Denver Nuggets,104,Minnesota Timberwolves,112,Denver Nuggets
Portland Trail Blazers,91,San Antonio Spurs,93,Portland Trail Blazers
Golden State Warriors,97,Memphis Grizzlies,84,Golden State Warriors
Los Angeles Clippers,108,Phoenix Suns,95,Los Angeles Clippers
Cleveland Cavaliers,115,Chicago Bulls,112,Cleveland Cavaliers
Philadelphia 76ers,109,Toronto Raptors,114,Philadelphia 76ers
New York Knicks,102,Boston Celtics,93,New York Knicks
Phoenix Suns,97,Memphis Grizzlies,95,Phoenix Suns
Utah Jazz,100,San Antonio Spurs,89,Utah Jazz
Detroit Pistons,104,New York Knicks,101,Detroit Pistons
Orlando Magic,97,New Orleans Pelicans,111,Orlando Magic
Brooklyn Nets,119,Washington Wizards,84,Brooklyn Nets
Houston Rockets,118,Los Angeles Clippers,128,Houston Rockets
Miami Heat,113,Dallas Mavericks,101,Miami Heat
Milwaukee Bucks,109,Charlotte Hornets,104,Milwaukee Bucks
Oklahoma City Thunder,120,Atlanta Hawks,117,Oklahoma City Thunder
Portland Trail Blazers,85,Denver Nuggets,102,Portland Trail Blazers
