Team 1,Team 1 Points,Team 2,Team 2 Points,Home Team
Washington Wizards,109,Philadelphia 76ers,94,Washington Wizards
Atlanta Hawks,104,Los Angeles Lakers,123,Atlanta Hawks
Boston Celtics,109,Memphis Grizzlies,98,Boston Celtics
Brooklyn Nets,104,Chicago Bulls,87,Brooklyn Nets
New York Knicks,111,Golden State Warriors,125,New York Knicks
Toronto Raptors,123,Detroit Pistons,94,Toronto Raptors
New Orleans Pelicans,125,Phoenix Suns,116,New Orleans Pelicans
Oklahoma City Thunder,112,Orlando Magic,105,Oklahoma City Thunder
Dallas Mavericks,109,Indiana Pacers,103,Dallas Mavericks
Utah Jazz,85,Houston Rockets,96,Utah Jazz
Sacramento Kings,100,Minnesota Timberwolves,118,Sacramento Kings
Charlotte Hornets,118,Chicago Bulls,103,Charlotte Hornets
Cleveland Cavaliers,129,Brooklyn Nets,123,Cleveland Cavaliers
Miami Heat,102,Philadelphia 76ers,101,Miami Heat
Milwaukee Bucks,104,Washington Wizards,107,Milwaukee Bucks
Portland Trail Blazers,116,Sacramento Kings,99,Portland Trail Blazers
Denver Nuggets,120,Los Angeles Clippers,122,Denver Nuggets
Detroit Pistons,110,Milwaukee Bucks,87,Detroit Pistons
Orlando Magic,104,Toronto Raptors,117,Orlando Magic
Atlanta Hawks,107,Indiana Pacers,102,Atlanta Hawks
Boston Celtics,134,Charlotte Hornets,106,Boston Celtics
Memphis Grizzlies,102,Phoenix Suns,110,Memphis Grizzlies
Washington Wizards,101,Golden State Warriors,109,Washington Wizards
Dallas Mavericks,110,Oklahoma City Thunder,111,Dallas Mavericks
San Antonio Spurs,116,New Orleans Pelicans,121,San Antonio Spurs
Los Angeles Clippers,92,Houston Rockets,105,Los Angeles Clippers
Miami Heat,113,Los Angeles Lakers,131,Miami Heat
Cleveland Cavaliers,97,Philadelphia 76ers,108,Cleveland Cavaliers
Sacramento Kings,116,Brooklyn Nets,111,Sacramento Kings
Portland Trail Blazers,108,Minnesota Timberwolves,99,Portland Trail Blazers
Orlando Magic,115,Detroit Pistons,106,Orlando Magic
Philadelphia 76ers,110,Charlotte Hornets,99,Philadelphia 76ers
Atlanta Hawks,109,Golden State Warriors,114,Atlanta Hawks
Chicago Bulls,108,Dallas Mavericks,100,Chicago Bulls
Memphis Grizzlies,102,Denver Nuggets,108,Memphis Grizzlies
Milwaukee Bucks,96,Indiana Pacers,103,Milwaukee Bucks
Washington Wizards,95,Toronto Raptors,102,Washington Wizards
Phoenix Suns,116,Oklahoma City Thunder,124,Phoenix Suns
Los Angeles Clippers,128,New York Knicks,105,Los Angeles Clippers
Utah Jazz,116,Minnesota Timberwolves,108,Utah Jazz
Orlando Magic,107,Memphis Grizzlies,100,Orlando Magic
Cleveland Cavaliers,117,Denver Nuggets,126,Cleveland Cavaliers
Miami Heat,105,Detroit Pistons,96,Miami Heat
Houston Rockets,123,Boston Celtics,120,Houston Rockets
San Antonio Spurs,112,Los Angeles Lakers,116,San Antonio Spurs
Portland Trail Blazers,108,Oklahoma City Thunder,100,Portland Trail Blazers
Sacramento Kings,91,Utah Jazz,98,Sacramento Kings
Atlanta Hawks,113,Phoenix Suns,112,Atlanta Hawks
Toronto Raptors,103,Charlotte Hornets,98,Toronto Raptors
Washington Wizards,95,Indiana Pacers,98,Washington Wizards
Dallas Mavericks,109,New Orleans Pelicans,126,Dallas Mavericks
Milwaukee Bucks,118,Philadelphia 76ers,110,Milwaukee Bucks
Los Angeles Clippers,123,Brooklyn Nets,120,Los Angeles Clippers
Sacramento Kings,102,New York Knicks,99,Sacramento Kings
Cleveland Cavaliers,112,Detroit Pistons,90,Cleveland Cavaliers
Indiana Pacers,92,Milwaukee Bucks,89,Indiana Pacers
Miami Heat,125,Phoenix Suns,103,Miami Heat
Chicago Bulls,89,Boston Celtics,105,Chicago Bulls
San Antonio Spurs,100,Memphis Grizzlies,98,San Antonio Spurs
Utah Jazz,94,Orlando Magic,80,Utah Jazz
Los Angeles Lakers,103,Portland Trail Blazers,108,Los Angeles Lakers
Charlotte Hornets,114,Philadelphia 76ers,128,Charlotte Hornets
Toronto Raptors,106,Atlanta Hawks,90,Toronto Raptors
Washington Wizards,117,Miami Heat,113,Washington Wizards
Oklahoma City Thunder,112,Houston Rockets,122,Oklahoma City Thunder
Dallas Mavericks,118,Denver Nuggets,107,Dallas Mavericks
Portland Trail Blazers,111,New York Knicks,87,Portland Trail Blazers
Golden State Warriors,114,Brooklyn Nets,101,Golden State Warriors
Los Angeles Clippers,116,New Orleans Pelicans,121,Los Angeles Clippers
Indiana Pacers,84,Utah Jazz,104,Indiana Pacers
Chicago Bulls,119,Memphis Grizzlies,110,Chicago Bulls
Detroit Pistons,119,Toronto Raptors,121,Detroit Pistons
Milwaukee Bucks,99,Houston Rockets,110,Milwaukee Bucks
Sacramento Kings,101,New Orleans Pelicans,114,Sacramento Kings
Denver Nuggets,108,Cleveland Cavaliers,113,Denver Nuggets
Los Angeles Lakers,108,Orlando Magic,107,Los Angeles Lakers
Charlotte Hornets,111,Brooklyn Nets,125,Charlotte Hornets
Miami Heat,108,Philadelphia 76ers,99,Miami Heat
Minnesota Timberwolves,109,Boston Celtics,117,Minnesota Timberwolves
Oklahoma City Thunder,115,Phoenix Suns,87,Oklahoma City Thunder
Golden State Warriors,110,San Antonio Spurs,107,Golden State Warriors
Detroit Pistons,99,Chicago Bulls,83,Detroit Pistons
Indiana Pacers,112,Atlanta Hawks,87,Indiana Pacers
Toronto Raptors,108,Houston Rockets,105,Toronto Raptors
Memphis Grizzlies,78,Utah Jazz,95,Memphis Grizzlies
Milwaukee Bucks,120,New York Knicks,112,Milwaukee Bucks
New Orleans Pelicans,97,Washington Wizards,116,New Orleans Pelicans
Denver Nuggets,125,Los Angeles Lakers,116,Denver Nuggets
Portland Trail Blazers,125,Golden State Warriors,108,Portland Trail Blazers
Sacramento Kings,94,Orlando Magic,88,Sacramento Kings
Los Angeles Clippers,116,Cleveland Cavaliers,102,Los Angeles Clippers
Charlotte Hornets,122,Phoenix Suns,115,Charlotte Hornets
Miami Heat,129,Washington Wizards,102,Miami Heat
Dallas Mavericks,114,Memphis Grizzlies,80,Dallas Mavericks
Oklahoma City Thunder,104,San Antonio Spurs,94,Oklahoma City Thunder
Los Angeles Clippers,113,Orlando Magic,105,Los Angeles Clippers
New York Knicks,106,Toronto Raptors,132,New York Knicks
Atlanta Hawks,122,Chicago Bulls,129,Atlanta Hawks
Minnesota Timberwolves,109,Golden State Warriors,103,Minnesota Timberwolves
New Orleans Pelicans,99,Utah Jazz,116,New Orleans Pelicans
Denver Nuggets,130,Sacramento Kings,104,Denver Nuggets
Dallas Mavericks,82,Houston Rockets,105,Dallas Mavericks
Boston Celtics,97,Indiana Pacers,99,Boston Celtics
Brooklyn Nets,97,Philadelphia 76ers,120,Brooklyn Nets
Los Angeles Lakers,127,Cleveland Cavaliers,113,Los Angeles Lakers
Houston Rockets,109,San Antonio Spurs,93,Houston Rockets
Memphis Grizzlies,103,Milwaukee Bucks,121,Memphis Grizzlies
Oklahoma City Thunder,106,Sacramento Kings,101,Oklahoma City Thunder
Portland Trail Blazers,115,Miami Heat,99,Portland Trail Blazers
Philadelphia 76ers,98,Indiana Pacers,101,Philadelphia 76ers
Washington Wizards,111,Minnesota Timberwolves,116,Washington Wizards
Atlanta Hawks,107,Oklahoma City Thunder,119,Atlanta Hawks
Brooklyn Nets,102,Toronto Raptors,116,Brooklyn Nets
New York Knicks,97,Dallas Mavericks,110,New York Knicks
Chicago Bulls,106,Los Angeles Clippers,112,Chicago Bulls
New Orleans Pelicans,119,Charlotte Hornets,115,New Orleans Pelicans
San Antonio Spurs,108,Orlando Magic,72,San Antonio Spurs
Utah Jazz,110,Detroit Pistons,79,Utah Jazz
Phoenix Suns,107,Cleveland Cavaliers,129,Phoenix Suns
Los Angeles Lakers,112,Denver Nuggets,103,Los Angeles Lakers
Orlando Magic,126,Milwaukee Bucks,117,Orlando Magic
Boston Celtics,124,Washington Wizards,125,Boston Celtics
Sacramento Kings,123,Miami Heat,119,Sacramento Kings
Golden State Warriors,117,Los Angeles Lakers,106,Golden State Warriors
Indiana Pacers,99,Toronto Raptors,106,Indiana Pacers
Atlanta Hawks,117,Charlotte Hornets,129,Atlanta Hawks
New York Knicks,110,Philadelphia 76ers,118,New York Knicks
Houston Rockets,101,Los Angeles Clippers,96,Houston Rockets
Memphis Grizzlies,110,Chicago Bulls,111,Memphis Grizzlies
San Antonio Spurs,98,New Orleans Pelicans,93,San Antonio Spurs
Denver Nuggets,120,Detroit Pistons,113,Denver Nuggets
Utah Jazz,116,Phoenix Suns,88,Utah Jazz
Portland Trail Blazers,113,Cleveland Cavaliers,105,Portland Trail Blazers
Orlando Magic,83,Boston Celtics,92,Orlando Magic
Philadelphia 76ers,120,Brooklyn Nets,116,Philadelphia 76ers
Toronto Raptors,122,Dallas Mavericks,115,Toronto Raptors
Oklahoma City Thunder,121,Los Angeles Clippers,113,Oklahoma City Thunder
Golden State Warriors,93,Sacramento Kings,98,Golden State Warriors
Los Angeles Lakers,91,Miami Heat,92,Los Angeles Lakers
Milwaukee Bucks,122,Atlanta Hawks,117,Milwaukee Bucks
New Orleans Pelicans,101,Houston Rockets,107,New Orleans Pelicans
Washington Wizards,109,Indiana Pacers,102,Washington Wizards
Brooklyn Nets,114,Dallas Mavericks,106,Brooklyn Nets
New York Knicks,124,Charlotte Hornets,101,New York Knicks
Chicago Bulls,109,Cleveland Cavaliers,114,Chicago Bulls
Memphis Grizzlies,101,Denver Nuggets,94,Memphis Grizzlies
San Antonio Spurs,117,Minnesota Timberwolves,101,San Antonio Spurs
Utah Jazz,103,Sacramento Kings,97,Utah Jazz
Phoenix Suns,109,Golden State Warriors,124,Phoenix Suns
Portland Trail Blazers,100,Detroit Pistons,87,Portland Trail Blazers
Toronto Raptors,125,Oklahoma City Thunder,132,Toronto Raptors
New Orleans Pelicans,108,Boston Celtics,89,New Orleans Pelicans
Minnesota Timberwolves,120,Houston Rockets,129,Minnesota Timberwolves
Los Angeles Clippers,109,Portland Trail Blazers,122,Los Angeles Clippers
Cleveland Cavaliers,124,Milwaukee Bucks,117,Cleveland Cavaliers
Indiana Pacers,110,Los Angeles Lakers,100,Indiana Pacers
Philadelphia 76ers,108,Charlotte Hornets,94,Philadelphia 76ers
Brooklyn Nets,118,Memphis Grizzlies,115,Brooklyn Nets
Miami Heat,149,Denver Nuggets,141,Miami Heat
New York Knicks,110,Chicago Bulls,92,New York Knicks
San Antonio Spurs,89,Golden State Warriors,75,San Antonio Spurs
Sacramento Kings,90,Detroit Pistons,106,Sacramento Kings
Orlando Magic,86,Toronto Raptors,93,Orlando Magic
Boston Celtics,100,Oklahoma City Thunder,99,Boston Celtics
Minnesota Timberwolves,123,Los Angeles Clippers,109,Minnesota Timberwolves
New Orleans Pelicans,115,Dallas Mavericks,105,New Orleans Pelicans
Utah Jazz,94,Atlanta Hawks,99,Utah Jazz
Phoenix Suns,88,Detroit Pistons,115,Phoenix Suns
Portland Trail Blazers,111,Houston Rockets,115,Portland Trail Blazers
Cleveland Cavaliers,132,Toronto Raptors,129,Cleveland Cavaliers
Philadelphia 76ers,119,Memphis Grizzlies,105,Philadelphia 76ers
Brooklyn Nets,105,Charlotte Hornets,111,Brooklyn Nets
Miami Heat,119,New York Knicks,98,Miami Heat
Chicago Bulls,102,Denver Nuggets,135,Chicago Bulls
Milwaukee Bucks,120,Los Angeles Clippers,127,Milwaukee Bucks
New Orleans Pelicans,96,Indiana Pacers,92,New Orleans Pelicans
San Antonio Spurs,98,Washington Wizards,90,San Antonio Spurs
Charlotte Hornets,140,Memphis Grizzlies,79,Charlotte Hornets
Orlando Magic,98,Philadelphia 76ers,118,Orlando Magic
Houston Rockets,100,Detroit Pistons,96,Houston Rockets
New Orleans Pelicans,128,Los Angeles Lakers,125,New Orleans Pelicans
Dallas Mavericks,112,Utah Jazz,119,Dallas Mavericks
Sacramento Kings,105,Atlanta Hawks,90,Sacramento Kings
Indiana Pacers,109,Los Angeles Clippers,104,Indiana Pacers
Washington Wizards,100,Denver Nuggets,108,Washington Wizards
Cleveland Cavaliers,120,Phoenix Suns,95,Cleveland Cavaliers
New York Knicks,104,Minnesota Timberwolves,108,New York Knicks
Toronto Raptors,116,Brooklyn Nets,112,Toronto Raptors
Chicago Bulls,105,Milwaukee Bucks,118,Chicago Bulls
Oklahoma City Thunder,105,Miami Heat,99,Oklahoma City Thunder
San Antonio Spurs,124,Utah Jazz,120,San Antonio Spurs
Portland Trail Blazers,100,Boston Celtics,105,Portland Trail Blazers
Golden State Warriors,106,Atlanta Hawks,94,Golden State Warriors
Philadelphia 76ers,120,Minnesota Timberwolves,108,Philadelphia 76ers
Detroit Pistons,117,Chicago Bulls,95,Detroit Pistons
Orlando Magic,105,Phoenix Suns,99,Orlando Magic
Houston Rockets,114,New Orleans Pelicans,91,Houston Rockets
Memphis Grizzlies,93,Los Angeles Lakers,100,Memphis Grizzlies
Dallas Mavericks,98,Charlotte Hornets,102,Dallas Mavericks
Brooklyn Nets,114,Cleveland Cavaliers,121,Brooklyn Nets
Milwaukee Bucks,106,San Antonio Spurs,103,Milwaukee Bucks
Indiana Pacers,113,Miami Heat,107,Indiana Pacers
Sacramento Kings,93,Boston Celtics,104,Sacramento Kings
Toronto Raptors,106,Los Angeles Clippers,117,Toronto Raptors
Washington Wizards,97,New York Knicks,101,Washington Wizards
Oklahoma City Thunder,105,Portland Trail Blazers,108,Oklahoma City Thunder
Houston Rockets,118,Atlanta Hawks,99,Houston Rockets
Golden State Warriors,91,Utah Jazz,110,Golden State Warriors
Charlotte Hornets,137,New York Knicks,128,Charlotte Hornets
Detroit Pistons,112,Los Angeles Lakers,106,Detroit Pistons
Philadelphia 76ers,123,Denver Nuggets,104,Philadelphia 76ers
Minnesota Timberwolves,93,Memphis Grizzlies,101,Minnesota Timberwolves
Phoenix Suns,94,Boston Celtics,102,Phoenix Suns
Washington Wizards,116,San Antonio Spurs,106,Washington Wizards
Toronto Raptors,114,Denver Nuggets,110,Toronto Raptors
Houston Rockets,118,Chicago Bulls,86,Houston Rockets
Miami Heat,98,Cleveland Cavaliers,79,Miami Heat
New Orleans Pelicans,103,Portland Trail Blazers,107,New Orleans Pelicans
Sacramento Kings,97,Dallas Mavericks,103,Sacramento Kings
Golden State Warriors,81,Indiana Pacers,92,Golden State Warriors
Los Angeles Clippers,105,Milwaukee Bucks,98,Los Angeles Clippers
Charlotte Hornets,105,Cleveland Cavaliers,118,Charlotte Hornets
Orlando Magic,104,Brooklyn Nets,111,Orlando Magic
Philadelphia 76ers,118,New York Knicks,101,Philadelphia 76ers
Memphis Grizzlies,108,Portland Trail Blazers,103,Memphis Grizzlies
Minnesota Timberwolves,126,Atlanta Hawks,114,Minnesota Timberwolves
