Home,Home Points,Visitor,Visitor Points
Atlanta Hawks,100,Los Angeles Lakers,87
Dallas Mavericks,96,Houston Rockets,100
New Orleans Pelicans,114,Cleveland Cavaliers,108
Philadelphia 76ers,105,Denver Nuggets,108
Toronto Raptors,109,Golden State Warriors,112
Chicago Bulls,96,Charlotte Hornets,102
Houston Rockets,120,Sacramento Kings,113
Miami Heat,99,Cleveland Cavaliers,84
Minnesota Timberwolves,103,Portland Trail Blazers,109
Milwaukee Bucks,106,New York Knicks,91
San Antonio Spurs,108,Boston Celtics,105
Utah Jazz,122,Indiana Pacers,119
Los Angeles Clippers,103,Orlando Magic,101
Memphis Grizzlies,95,Phoenix Suns,93
Brooklyn Nets,98,Golden State Warriors,114
Detroit Pistons,111,Los Angeles Lakers,91
Washington Wizards,104,Dallas Mavericks,116
Oklahoma City Thunder,98,Sacramento Kings,95
Charlotte Hornets,104,Detroit Pistons,84
Philadelphia 76ers,68,San Antonio Spurs,119
Miami Heat,103,Washington Wizards,114
New York Knicks,97,Dallas Mavericks,104
Toronto Raptors,102,Los Angeles Lakers,93
Chicago Bulls,101,Phoenix Suns,103
Milwaukee Bucks,90,Portland Trail Blazers,88
Minnesota Timberwolves,106,Los Angeles Clippers,110
New Orleans Pelicans,93,Boston Celtics,111
Cleveland Cavaliers,105,Portland Trail Blazers,100
Indiana Pacers,123,Golden State Warriors,131
Brooklyn Nets,110,Houston Rockets,105
Memphis Grizzlies,88,Oklahoma City Thunder,125
Denver Nuggets,74,Orlando Magic,85
Sacramento Kings,114,Utah Jazz,106
Boston Celtics,105,Chicago Bulls,100
Charlotte Hornets,99,Miami Heat,81
Washington Wizards,103,Houston Rockets,109
Detroit Pistons,92,Memphis Grizzlies,93
Toronto Raptors,97,San Antonio Spurs,94
Milwaukee Bucks,95,Los Angeles Clippers,109
Minnesota Timberwolves,123,Los Angeles Lakers,122
Phoenix Suns,107,Orlando Magic,104
Utah Jazz,106,New York Knicks,85
Dallas Mavericks,95,Atlanta Hawks,98
Brooklyn Nets,100,Philadelphia 76ers,91
Chicago Bulls,83,Los Angeles Clippers,80
Oklahoma City Thunder,107,Atlanta Hawks,94
Sacramento Kings,99,New York Knicks,97
Indiana Pacers,96,Miami Heat,83
Orlando Magic,76,Cleveland Cavaliers,111
Philadelphia 76ers,95,Detroit Pistons,107
Boston Celtics,119,Golden State Warriors,124
Toronto Raptors,90,Milwaukee Bucks,83
Memphis Grizzlies,99,Charlotte Hornets,123
New Orleans Pelicans,107,Washington Wizards,105
Denver Nuggets,111,Minnesota Timberwolves,108
Utah Jazz,90,Oklahoma City Thunder,94
Phoenix Suns,96,Portland Trail Blazers,106
San Antonio Spurs,109,Los Angeles Lakers,87
Brooklyn Nets,100,Los Angeles Clippers,105
Charlotte Hornets,93,Boston Celtics,98
Detroit Pistons,118,Indiana Pacers,96
Atlanta Hawks,78,San Antonio Spurs,103
Chicago Bulls,98,New Orleans Pelicans,94
Houston Rockets,126,Los Angeles Lakers,97
Dallas Mavericks,111,Washington Wizards,114
Milwaukee Bucks,108,Golden State Warriors,95
Portland Trail Blazers,110,New York Knicks,112
Phoenix Suns,108,Minnesota Timberwolves,101
Miami Heat,100,Memphis Grizzlies,97
Toronto Raptors,96,Philadelphia 76ers,76
Oklahoma City Thunder,104,Utah Jazz,98
Indiana Pacers,106,Toronto Raptors,90
Brooklyn Nets,82,Orlando Magic,105
Detroit Pistons,103,Los Angeles Clippers,105
Atlanta Hawks,88,Miami Heat,100
Chicago Bulls,115,Philadelphia 76ers,96
Memphis Grizzlies,112,Washington Wizards,95
Dallas Mavericks,104,Phoenix Suns,94
San Antonio Spurs,118,Utah Jazz,81
Denver Nuggets,114,Houston Rockets,108
Portland Trail Blazers,105,New Orleans Pelicans,101
Boston Celtics,77,Cleveland Cavaliers,89
Minnesota Timberwolves,100,Denver Nuggets,112
Sacramento Kings,107,Houston Rockets,97
Los Angeles Lakers,113,Milwaukee Bucks,95
Indiana Pacers,107,Dallas Mavericks,81
Orlando Magic,113,Charlotte Hornets,98
Brooklyn Nets,98,Miami Heat,104
Detroit Pistons,119,Boston Celtics,116
New York Knicks,107,Minnesota Timberwolves,102
Atlanta Hawks,127,Philadelphia 76ers,106
Chicago Bulls,98,Memphis Grizzlies,85
Oklahoma City Thunder,106,Portland Trail Blazers,90
San Antonio Spurs,114,Washington Wizards,95
Utah Jazz,94,New Orleans Pelicans,104
Golden State Warriors,128,Phoenix Suns,103
Los Angeles Clippers,103,Milwaukee Bucks,90
Charlotte Hornets,109,Toronto Raptors,99
Cleveland Cavaliers,104,Oklahoma City Thunder,100
Los Angeles Lakers,87,Houston Rockets,107
Indiana Pacers,104,Brooklyn Nets,97
Orlando Magic,102,Portland Trail Blazers,94
Philadelphia 76ers,97,New York Knicks,107
Boston Celtics,101,Atlanta Hawks,109
Chicago Bulls,144,Detroit Pistons,147
Miami Heat,94,Toronto Raptors,108
Minnesota Timberwolves,99,Sacramento Kings,95
San Antonio Spurs,115,Los Angeles Clippers,107
Dallas Mavericks,97,Memphis Grizzlies,88
Utah Jazz,97,Denver Nuggets,88
Golden State Warriors,121,Milwaukee Bucks,112
Phoenix Suns,104,New Orleans Pelicans,88
Oklahoma City Thunder,118,Los Angeles Lakers,78
Washington Wizards,109,Charlotte Hornets,101
New York Knicks,107,Chicago Bulls,91
Houston Rockets,107,Los Angeles Clippers,97
Memphis Grizzlies,96,Indiana Pacers,84
Brooklyn Nets,85,Minnesota Timberwolves,100
Miami Heat,116,Portland Trail Blazers,109
Cleveland Cavaliers,108,Philadelphia 76ers,86
Phoenix Suns,95,Milwaukee Bucks,101
Orlando Magic,100,Atlanta Hawks,103
Toronto Raptors,94,Sacramento Kings,104
Denver Nuggets,125,New Orleans Pelicans,130
Washington Wizards,113,Sacramento Kings,99
Boston Celtics,113,Minnesota Timberwolves,99
New York Knicks,99,Orlando Magic,107
Atlanta Hawks,106,Portland Trail Blazers,97
Chicago Bulls,102,Brooklyn Nets,105
Houston Rockets,102,Charlotte Hornets,95
San Antonio Spurs,106,Indiana Pacers,92
Utah Jazz,110,Phoenix Suns,89
Los Angeles Clippers,99,Oklahoma City Thunder,100
Philadelphia 76ers,90,Memphis Grizzlies,104
Miami Heat,92,Detroit Pistons,93
Toronto Raptors,103,Dallas Mavericks,99
Denver Nuggets,107,Los Angeles Lakers,111
Charlotte Hornets,89,Boston Celtics,102
Cleveland Cavaliers,91,New York Knicks,84
Indiana Pacers,106,Sacramento Kings,108
Orlando Magic,104,Houston Rockets,101
Washington Wizards,100,Memphis Grizzlies,91
Brooklyn Nets,118,Dallas Mavericks,119
Atlanta Hawks,107,Detroit Pistons,100
Milwaukee Bucks,113,Philadelphia 76ers,100
Minnesota Timberwolves,83,San Antonio Spurs,108
New Orleans Pelicans,115,Portland Trail Blazers,89
Phoenix Suns,96,Denver Nuggets,104
Golden State Warriors,103,Utah Jazz,85
Los Angeles Lakers,85,Oklahoma City Thunder,120
Miami Heat,94,New Orleans Pelicans,88
Oklahoma City Thunder,96,Chicago Bulls,105
Golden State Warriors,89,Cleveland Cavaliers,83
Houston Rockets,88,San Antonio Spurs,84
Los Angeles Lakers,84,Los Angeles Clippers,94
Brooklyn Nets,96,Washington Wizards,111
Milwaukee Bucks,90,Toronto Raptors,111
Charlotte Hornets,98,Memphis Grizzlies,92
New Orleans Pelicans,110,Houston Rockets,108
Orlando Magic,101,Miami Heat,108
Atlanta Hawks,117,New York Knicks,98
Detroit Pistons,93,Boston Celtics,99
Minnesota Timberwolves,88,Indiana Pacers,102
Dallas Mavericks,118,Chicago Bulls,111
San Antonio Spurs,101,Denver Nuggets,86
Phoenix Suns,104,Philadelphia 76ers,111
Utah Jazz,104,Los Angeles Clippers,109
Portland Trail Blazers,105,Cleveland Cavaliers,76
Memphis Grizzlies,112,Los Angeles Lakers,96
Boston Celtics,100,New York Knicks,91
Oklahoma City Thunder,122,Denver Nuggets,112
Sacramento Kings,94,Portland Trail Blazers,98
Charlotte Hornets,108,Los Angeles Lakers,98
Indiana Pacers,93,Atlanta Hawks,87
Orlando Magic,104,New Orleans Pelicans,89
Washington Wizards,91,Los Angeles Clippers,108
Miami Heat,105,Brooklyn Nets,111
Chicago Bulls,104,Toronto Raptors,97
Dallas Mavericks,103,Milwaukee Bucks,93
San Antonio Spurs,101,Minnesota Timberwolves,95
Phoenix Suns,97,Cleveland Cavaliers,101
Utah Jazz,95,Philadelphia 76ers,91
Golden State Warriors,122,Sacramento Kings,103
New York Knicks,108,Detroit Pistons,96
Houston Rockets,115,Atlanta Hawks,121
Memphis Grizzlies,99,Miami Heat,90
Oklahoma City Thunder,131,Milwaukee Bucks,123
Denver Nuggets,87,Cleveland Cavaliers,93
Charlotte Hornets,117,Los Angeles Clippers,122
Orlando Magic,100,Brooklyn Nets,93
Boston Celtics,104,Los Angeles Lakers,112
Toronto Raptors,94,Washington Wizards,91
Chicago Bulls,102,Indiana Pacers,100
Minnesota Timberwolves,94,Utah Jazz,80
Dallas Mavericks,114,Golden State Warriors,91
San Antonio Spurs,112,Phoenix Suns,79
Portland Trail Blazers,110,Denver Nuggets,103
Sacramento Kings,105,Philadelphia 76ers,110
Detroit Pistons,115,Minnesota Timberwolves,90
Indiana Pacers,116,Milwaukee Bucks,120
Houston Rockets,110,Golden State Warriors,114
New Orleans Pelicans,89,Los Angeles Clippers,95
Oklahoma City Thunder,110,Phoenix Suns,106
Utah Jazz,109,Portland Trail Blazers,96
Washington Wizards,103,Orlando Magic,91
Miami Heat,106,Dallas Mavericks,82
Toronto Raptors,104,Charlotte Hornets,94
Chicago Bulls,108,New York Knicks,81
Los Angeles Lakers,93,Philadelphia 76ers,84
Boston Celtics,97,Brooklyn Nets,100
Sacramento Kings,142,Phoenix Suns,119
Charlotte Hornets,90,Oklahoma City Thunder,109
Indiana Pacers,94,Detroit Pistons,82
Cleveland Cavaliers,104,Orlando Magic,79
Minnesota Timberwolves,85,Milwaukee Bucks,95
Dallas Mavericks,98,New Orleans Pelicans,105
San Antonio Spurs,121,Houston Rockets,103
Utah Jazz,92,Memphis Grizzlies,87
Golden State Warriors,111,Denver Nuggets,108
Los Angeles Clippers,130,Philadelphia 76ers,99
New York Knicks,111,Atlanta Hawks,97
Toronto Raptors,113,Chicago Bulls,115
Washington Wizards,75,Miami Heat,97
Denver Nuggets,106,Portland Trail Blazers,112
Los Angeles Lakers,97,Phoenix Suns,77
Cleveland Cavaliers,122,Toronto Raptors,100
Philadelphia 76ers,109,Minnesota Timberwolves,99
Brooklyn Nets,94,Boston Celtics,103
Detroit Pistons,115,Orlando Magic,89
Miami Heat,103,Indiana Pacers,100
Milwaukee Bucks,98,San Antonio Spurs,123
Oklahoma City Thunder,104,Sacramento Kings,116
Utah Jazz,91,Houston Rockets,93
Portland Trail Blazers,78,Memphis Grizzlies,91
Golden State Warriors,111,Charlotte Hornets,101
Atlanta Hawks,101,New York Knicks,107
Chicago Bulls,117,Milwaukee Bucks,106
Dallas Mavericks,117,Sacramento Kings,116
Los Angeles Lakers,88,Golden State Warriors,109
Miami Heat,90,New York Knicks,98
Orlando Magic,86,Indiana Pacers,95
Washington Wizards,115,Cleveland Cavaliers,121
Boston Celtics,94,Detroit Pistons,99
Brooklyn Nets,74,Toronto Raptors,91
Minnesota Timberwolves,74,Denver Nuggets,78
New Orleans Pelicans,91,Dallas Mavericks,100
San Antonio Spurs,123,Utah Jazz,98
Phoenix Suns,111,Charlotte Hornets,102
Oklahoma City Thunder,112,Memphis Grizzlies,94
Portland Trail Blazers,98,Los Angeles Clippers,109
Philadelphia 76ers,98,Atlanta Hawks,126
Chicago Bulls,101,Boston Celtics,92
Houston Rockets,103,Utah Jazz,94
Sacramento Kings,118,Los Angeles Lakers,115
Washington Wizards,88,Toronto Raptors,97
Brooklyn Nets,77,Orlando Magic,83
Memphis Grizzlies,91,Denver Nuggets,84
Milwaukee Bucks,96,Dallas Mavericks,95
Minnesota Timberwolves,99,Cleveland Cavaliers,125
New Orleans Pelicans,86,Indiana Pacers,91
San Antonio Spurs,100,New York Knicks,99
Phoenix Suns,95,Miami Heat,103
Portland Trail Blazers,108,Golden State Warriors,128
Los Angeles Lakers,113,Oklahoma City Thunder,117
Los Angeles Clippers,97,Charlotte Hornets,83
Atlanta Hawks,120,Chicago Bulls,105
Orlando Magic,99,Washington Wizards,105
Detroit Pistons,103,Brooklyn Nets,89
Philadelphia 76ers,95,Toronto Raptors,108
Utah Jazz,98,Miami Heat,83
Sacramento Kings,116,Golden State Warriors,128
Los Angeles Clippers,114,New Orleans Pelicans,111
Minnesota Timberwolves,87,Dallas Mavericks,93
Memphis Grizzlies,101,Boston Celtics,98
Philadelphia 76ers,85,Cleveland Cavaliers,95
Houston Rockets,107,Indiana Pacers,103
New York Knicks,100,Milwaukee Bucks,88
Denver Nuggets,95,Charlotte Hornets,92
Portland Trail Blazers,115,Oklahoma City Thunder,110
Los Angeles Lakers,74,Utah Jazz,86
Brooklyn Nets,79,San Antonio Spurs,106
Chicago Bulls,100,Washington Wizards,114
Golden State Warriors,111,Miami Heat,103
Indiana Pacers,116,Phoenix Suns,97
Detroit Pistons,99,San Antonio Spurs,109
New York Knicks,120,Boston Celtics,114
Memphis Grizzlies,91,Houston Rockets,107
Milwaukee Bucks,106,Chicago Bulls,101
Minnesota Timberwolves,96,Oklahoma City Thunder,101
Dallas Mavericks,107,Cleveland Cavaliers,110
Los Angeles Lakers,95,New Orleans Pelicans,91
Charlotte Hornets,107,Atlanta Hawks,84
Washington Wizards,106,Milwaukee Bucks,101
Brooklyn Nets,110,New York Knicks,104
Boston Celtics,103,Indiana Pacers,94
Houston Rockets,107,Minnesota Timberwolves,104
Oklahoma City Thunder,108,Dallas Mavericks,89
Denver Nuggets,112,Golden State Warriors,110
Portland Trail Blazers,99,Utah Jazz,85
Sacramento Kings,97,New Orleans Pelicans,109
Los Angeles Clippers,104,Miami Heat,90
Orlando Magic,103,Toronto Raptors,106
Philadelphia 76ers,111,Chicago Bulls,115
Memphis Grizzlies,103,Detroit Pistons,101
San Antonio Spurs,99,Cleveland Cavaliers,95
Utah Jazz,101,Sacramento Kings,103
Golden State Warriors,116,Los Angeles Lakers,98
Indiana Pacers,104,Washington Wizards,118
Oklahoma City Thunder,113,Minnesota Timberwolves,93
Boston Celtics,117,Phoenix Suns,103
Brooklyn Nets,104,Portland Trail Blazers,116
Chicago Bulls,77,Dallas Mavericks,83
Milwaukee Bucks,108,Atlanta Hawks,101
New Orleans Pelicans,109,Charlotte Hornets,107
