Date,Start Time,Home,Home Points,Visitor,Visitor Points,Winner,Attendance
"Wed, Nov 1, 2017",7:00p,Philadelphia 76ers,119,Atlanta Hawks,109,Philadelphia 76ers,"20,549"
"Wed, Nov 1, 2017",7:00p,Washington Wizards,116,Phoenix Suns,122,Phoenix Suns,"14,790"
"Wed, Nov 1, 2017",7:30p,Boston Celtics,113,Sacramento Kings,86,Boston Celtics,"18,624"
"Wed, Nov 1, 2017",7:30p,Miami Heat,97,Chicago Bulls,91,Miami Heat,"19,600"
"Wed, Nov 1, 2017",8:00p,Memphis Grizzlies,99,Orlando Magic,101,Orlando Magic,"15,434"
"Wed, Nov 1, 2017",8:00p,New Orleans Pelicans,98,Minnesota Timberwolves,104,Minnesota Timberwolves,"14,788"
"Wed, Nov 1, 2017",8:00p,New York Knicks,97,Houston Rockets,119,Houston Rockets,"18,320"
"Wed, Nov 1, 2017",9:00p,Denver Nuggets,129,Toronto Raptors,111,Denver Nuggets,"14,072"
"Wed, Nov 1, 2017",9:00p,Utah Jazz,112,Portland Trail Blazers,103,Utah Jazz,"16,685"
"Wed, Nov 1, 2017",10:30p,Los Angeles Clippers,119,Dallas Mavericks,98,Los Angeles Clippers,"13,487"
"Thu, Nov 2, 2017",8:00p,San Antonio Spurs,92,Golden State Warriors,112,Golden State Warriors,"18,418"
"Thu, Nov 2, 2017",10:30p,Portland Trail Blazers,113,Los Angeles Lakers,110,Portland Trail Blazers,"19,469"
"Fri, Nov 3, 2017",7:00p,Detroit Pistons,105,Milwaukee Bucks,96,Detroit Pistons,"17,207"
"Fri, Nov 3, 2017",7:00p,Orlando Magic,83,Chicago Bulls,105,Chicago Bulls,"19,171"
"Fri, Nov 3, 2017",7:00p,Philadelphia 76ers,121,Indiana Pacers,110,Philadelphia 76ers,"20,668"
"Fri, Nov 3, 2017",7:00p,Washington Wizards,122,Cleveland Cavaliers,130,Cleveland Cavaliers,"20,356"
"Fri, Nov 3, 2017",7:30p,Atlanta Hawks,104,Houston Rockets,119,Houston Rockets,"14,087"
"Fri, Nov 3, 2017",7:30p,New York Knicks,120,Phoenix Suns,107,New York Knicks,"19,404"
"Fri, Nov 3, 2017",8:30p,Dallas Mavericks,94,New Orleans Pelicans,99,New Orleans Pelicans,"19,894"
"Fri, Nov 3, 2017",8:30p,San Antonio Spurs,108,Charlotte Hornets,101,San Antonio Spurs,"18,418"
"Fri, Nov 3, 2017",9:00p,Denver Nuggets,95,Miami Heat,94,Denver Nuggets,"15,317"
"Fri, Nov 3, 2017",9:00p,Utah Jazz,100,Toronto Raptors,109,Toronto Raptors,"16,258"
"Fri, Nov 3, 2017",9:30p,Oklahoma City Thunder,94,Boston Celtics,101,Boston Celtics,"18,203"
"Fri, Nov 3, 2017",10:30p,Los Angeles Lakers,124,Brooklyn Nets,112,Los Angeles Lakers,"18,997"
"Sat, Nov 4, 2017",3:30p,Los Angeles Clippers,104,Memphis Grizzlies,113,Memphis Grizzlies,"14,777"
"Sat, Nov 4, 2017",7:00p,Detroit Pistons,108,Sacramento Kings,99,Detroit Pistons,"17,683"
"Sat, Nov 4, 2017",8:00p,Chicago Bulls,90,New Orleans Pelicans,96,New Orleans Pelicans,"21,254"
"Sat, Nov 4, 2017",8:00p,Minnesota Timberwolves,112,Dallas Mavericks,99,Minnesota Timberwolves,"16,837"
"Sat, Nov 4, 2017",9:00p,Denver Nuggets,108,Golden State Warriors,127,Golden State Warriors,"19,711"
"Sun, Nov 5, 2017",3:00p,Cleveland Cavaliers,115,Atlanta Hawks,117,Atlanta Hawks,"20,562"
"Sun, Nov 5, 2017",3:30p,Los Angeles Clippers,101,Miami Heat,104,Miami Heat,"15,676"
"Sun, Nov 5, 2017",6:00p,Orlando Magic,88,Boston Celtics,104,Boston Celtics,"17,731"
"Sun, Nov 5, 2017",6:00p,Toronto Raptors,96,Washington Wizards,107,Washington Wizards,"19,800"
"Sun, Nov 5, 2017",7:00p,Houston Rockets,137,Utah Jazz,110,Houston Rockets,"16,914"
"Sun, Nov 5, 2017",7:00p,San Antonio Spurs,112,Phoenix Suns,95,San Antonio Spurs,"18,038"
"Sun, Nov 5, 2017",7:30p,New York Knicks,108,Indiana Pacers,101,New York Knicks,"17,889"
"Sun, Nov 5, 2017",8:00p,Minnesota Timberwolves,112,Charlotte Hornets,94,Minnesota Timberwolves,"14,124"
"Sun, Nov 5, 2017",9:00p,Portland Trail Blazers,103,Oklahoma City Thunder,99,Portland Trail Blazers,"19,393"
"Sun, Nov 5, 2017",9:30p,Los Angeles Lakers,107,Memphis Grizzlies,102,Los Angeles Lakers,"18,997"
"Mon, Nov 6, 2017",7:30p,Atlanta Hawks,107,Boston Celtics,110,Boston Celtics,"13,215"
"Mon, Nov 6, 2017",9:00p,Phoenix Suns,92,Brooklyn Nets,98,Brooklyn Nets,"15,905"
"Mon, Nov 6, 2017",10:30p,Golden State Warriors,97,Miami Heat,80,Golden State Warriors,"19,596"
"Tue, Nov 7, 2017",7:00p,Cleveland Cavaliers,124,Milwaukee Bucks,119,Cleveland Cavaliers,"20,562"
"Tue, Nov 7, 2017",7:00p,Indiana Pacers,112,New Orleans Pelicans,117,New Orleans Pelicans,"15,014"
"Tue, Nov 7, 2017",7:00p,Washington Wizards,99,Dallas Mavericks,113,Dallas Mavericks,"14,505"
"Tue, Nov 7, 2017",7:30p,New York Knicks,118,Charlotte Hornets,113,New York Knicks,"18,704"
"Tue, Nov 7, 2017",7:30p,Toronto Raptors,119,Chicago Bulls,114,Toronto Raptors,"19,800"
"Tue, Nov 7, 2017",8:30p,San Antonio Spurs,120,Los Angeles Clippers,107,San Antonio Spurs,"18,418"
"Tue, Nov 7, 2017",9:00p,Denver Nuggets,112,Brooklyn Nets,104,Denver Nuggets,"14,058"
"Tue, Nov 7, 2017",9:00p,Utah Jazz,97,Philadelphia 76ers,104,Philadelphia 76ers,"16,063"
"Tue, Nov 7, 2017",10:00p,Portland Trail Blazers,97,Memphis Grizzlies,98,Memphis Grizzlies,"18,692"
"Tue, Nov 7, 2017",10:00p,Sacramento Kings,94,Oklahoma City Thunder,86,Sacramento Kings,"17,583"
"Wed, Nov 8, 2017",7:00p,Detroit Pistons,114,Indiana Pacers,97,Detroit Pistons,"14,407"
"Wed, Nov 8, 2017",7:00p,Orlando Magic,112,New York Knicks,99,Orlando Magic,"18,803"
"Wed, Nov 8, 2017",8:00p,Boston Celtics,107,Los Angeles Lakers,96,Boston Celtics,"18,624"
"Wed, Nov 8, 2017",9:00p,Phoenix Suns,115,Miami Heat,126,Miami Heat,"16,500"
"Wed, Nov 8, 2017",10:30p,Golden State Warriors,125,Minnesota Timberwolves,101,Golden State Warriors,"19,596"
"Thu, Nov 9, 2017",7:00p,Washington Wizards,111,Los Angeles Lakers,95,Washington Wizards,"20,356"
"Thu, Nov 9, 2017",7:30p,Toronto Raptors,122,New Orleans Pelicans,118,Toronto Raptors,"19,800"
"Thu, Nov 9, 2017",8:00p,Houston Rockets,117,Cleveland Cavaliers,113,Houston Rockets,"18,055"
"Thu, Nov 9, 2017",10:00p,Sacramento Kings,109,Philadelphia 76ers,108,Sacramento Kings,"17,583"
"Thu, Nov 9, 2017",10:30p,Denver Nuggets,102,Oklahoma City Thunder,94,Denver Nuggets,"19,520"
"Fri, Nov 10, 2017",7:00p,Detroit Pistons,111,Atlanta Hawks,104,Detroit Pistons,"16,687"
"Fri, Nov 10, 2017",7:30p,Boston Celtics,90,Charlotte Hornets,87,Boston Celtics,"18,624"
"Fri, Nov 10, 2017",8:00p,Chicago Bulls,87,Indiana Pacers,105,Indiana Pacers,"22,416"
"Fri, Nov 10, 2017",9:00p,Oklahoma City Thunder,120,Los Angeles Clippers,111,Oklahoma City Thunder,"18,203"
"Fri, Nov 10, 2017",9:00p,Phoenix Suns,112,Orlando Magic,128,Orlando Magic,"16,507"
"Fri, Nov 10, 2017",9:00p,San Antonio Spurs,87,Milwaukee Bucks,94,Milwaukee Bucks,"18,418"
"Fri, Nov 10, 2017",9:00p,Utah Jazz,74,Miami Heat,84,Miami Heat,"18,306"
"Fri, Nov 10, 2017",10:00p,Portland Trail Blazers,97,Brooklyn Nets,101,Brooklyn Nets,"19,393"
"Sat, Nov 11, 2017",7:00p,New Orleans Pelicans,111,Los Angeles Clippers,103,New Orleans Pelicans,"17,624"
"Sat, Nov 11, 2017",7:00p,Washington Wizards,113,Atlanta Hawks,94,Washington Wizards,"17,260"
"Sat, Nov 11, 2017",8:00p,Houston Rockets,111,Memphis Grizzlies,96,Houston Rockets,"18,055"
"Sat, Nov 11, 2017",8:00p,New York Knicks,118,Sacramento Kings,91,New York Knicks,"19,812"
"Sat, Nov 11, 2017",8:30p,Dallas Mavericks,104,Cleveland Cavaliers,111,Cleveland Cavaliers,"20,378"
"Sat, Nov 11, 2017",8:30p,Golden State Warriors,135,Philadelphia 76ers,114,Golden State Warriors,"19,596"
"Sat, Nov 11, 2017",8:30p,Milwaukee Bucks,98,Los Angeles Lakers,90,Milwaukee Bucks,"18,717"
"Sat, Nov 11, 2017",8:30p,San Antonio Spurs,133,Chicago Bulls,94,San Antonio Spurs,"18,418"
"Sat, Nov 11, 2017",9:00p,Denver Nuggets,125,Orlando Magic,107,Denver Nuggets,"16,688"
"Sat, Nov 11, 2017",9:00p,Phoenix Suns,118,Minnesota Timberwolves,110,Phoenix Suns,"16,910"
"Sat, Nov 11, 2017",9:00p,Utah Jazz,114,Brooklyn Nets,106,Utah Jazz,"17,413"
"Sun, Nov 12, 2017",3:30p,Boston Celtics,95,Toronto Raptors,94,Boston Celtics,"18,624"
"Sun, Nov 12, 2017",4:00p,Detroit Pistons,112,Miami Heat,103,Detroit Pistons,"16,236"
"Sun, Nov 12, 2017",6:00p,Indiana Pacers,95,Houston Rockets,118,Houston Rockets,"15,581"
"Sun, Nov 12, 2017",7:00p,Oklahoma City Thunder,112,Dallas Mavericks,99,Oklahoma City Thunder,"18,203"
"Mon, Nov 13, 2017",7:00p,Washington Wizards,110,Sacramento Kings,92,Washington Wizards,"14,660"
"Mon, Nov 13, 2017",7:30p,New York Knicks,101,Cleveland Cavaliers,104,Cleveland Cavaliers,"19,812"
"Mon, Nov 13, 2017",8:00p,Milwaukee Bucks,110,Memphis Grizzlies,103,Milwaukee Bucks,"13,244"
"Mon, Nov 13, 2017",8:00p,New Orleans Pelicans,106,Atlanta Hawks,105,New Orleans Pelicans,"14,631"
